event_id,session_id,customer_id,campaign_id,store_id,product_id,event_timestamp,event_date,event_type,page_visited,page_category,traffic_source,device_type,browser_name,operating_system,time_spent_seconds,scroll_depth_pct,is_conversion,order_id,revenue_amount
WEB-000042,SES-000042,C0622,CMP-005,STR-001,P110,2025-01-01T04:47:00+00:00,2025-01-01,purchase,/category,Product,Organic,Tablet,Firefox,macOS,776,5.49,false,,0.00
WEB-000043,SES-000043,C0964,CMP-003,STR-004,P107,2025-01-01T04:54:00+00:00,2025-01-01,checkout_start,/cart,Product,Partner,Desktop,Firefox,Windows,607,92.7,true,ORD-00043,1446.93
WEB-000044,SES-000044,C0467,CMP-004,STR-004,P108,2025-01-01T05:01:00+00:00,2025-01-01,checkout_start,/cart,Catalog,Social Media,Tablet,Edge,Android,768,21.48,false,,0.00
WEB-000045,SES-000045,C0082,CMP-004,STR-004,P110,2025-01-01T05:08:00+00:00,2025-01-01,checkout_start,/cart,Product,Referral,Tablet,Chrome,macOS,93,62.02,false,,0.00
WEB-000046,SES-000046,C0945,CMP-005,STR-006,P103,2025-01-01T05:15:00+00:00,2025-01-01,page_view,/cart,Product,Referral,Desktop,Chrome,iOS,164,31.41,false,,0.00
WEB-000047,SES-000047,C0692,CMP-004,STR-004,P107,2025-01-01T05:22:00+00:00,2025-01-01,purchase,/product,Checkout,Partner,Tablet,Chrome,Windows,79,11.52,true,ORD-00047,3675.76
WEB-000048,SES-000048,C0579,CMP-003,STR-001,P102,2025-01-01T05:29:00+00:00,2025-01-01,purchase,/product,Checkout,Paid Search,Desktop,Edge,macOS,829,50.88,false,,0.00
WEB-000049,SES-000049,C0286,CMP-004,STR-001,P103,2025-01-01T05:36:00+00:00,2025-01-01,product_view,/cart,Support,Referral,Mobile,Chrome,Windows,711,71.78,false,,0.00
WEB-000050,SES-000050,C0848,CMP-005,STR-004,P103,2025-01-01T05:43:00+00:00,2025-01-01,page_view,/home,Catalog,Paid Search,Desktop,Firefox,macOS,223,46.23,true,ORD-00050,677.62
WEB-000051,SES-000051,C0560,CMP-005,STR-001,P103,2025-01-01T05:50:00+00:00,2025-01-01,checkout_start,/home,Catalog,Partner,Desktop,Edge,Windows,628,97.85,false,,0.00
WEB-000052,SES-000052,C0471,CMP-006,STR-004,P101,2025-01-01T05:57:00+00:00,2025-01-01,product_view,/cart,Product,Social Media,Tablet,Firefox,Windows,87,16.92,false,,0.00
WEB-000053,SES-000053,C0792,CMP-002,STR-001,P107,2025-01-01T06:04:00+00:00,2025-01-01,product_view,/campaign-landing,Product,Referral,Tablet,Edge,macOS,615,22.65,false,,0.00
WEB-000054,SES-000054,C0402,CMP-005,STR-001,P104,2025-01-01T06:11:00+00:00,2025-01-01,page_view,/checkout,Catalog,Organic,Tablet,Edge,Android,877,40.53,false,,0.00
WEB-000055,SES-000055,C0625,CMP-004,STR-004,P105,2025-01-01T06:18:00+00:00,2025-01-01,add_to_cart,/home,Support,Paid Search,Desktop,Safari,Android,639,14.84,true,ORD-00055,2575.77
WEB-000056,SES-000056,C0666,CMP-003,STR-001,P106,2025-01-01T06:25:00+00:00,2025-01-01,purchase,/cart,Landing,Partner,Mobile,Edge,iOS,287,54.77,false,,0.00
WEB-000057,SES-000057,C0940,CMP-002,STR-005,P109,2025-01-01T06:32:00+00:00,2025-01-01,checkout_start,/product,Catalog,Social Media,Mobile,Chrome,Android,760,82.22,false,,0.00
WEB-000058,SES-000058,C0409,CMP-004,STR-005,P109,2025-01-01T06:39:00+00:00,2025-01-01,purchase,/home,Product,Organic,Tablet,Firefox,Windows,417,40.77,false,,0.00
WEB-000059,SES-000059,C0973,CMP-001,STR-003,P105,2025-01-01T06:46:00+00:00,2025-01-01,purchase,/product,Landing,Social Media,Mobile,Firefox,Windows,796,33.07,false,,0.00
WEB-000060,SES-000060,C0460,CMP-006,STR-002,P110,2025-01-01T06:53:00+00:00,2025-01-01,page_view,/cart,Landing,Referral,Tablet,Chrome,macOS,317,52.46,false,,0.00
WEB-000061,SES-000061,C0816,CMP-004,STR-004,P106,2025-01-01T07:00:00+00:00,2025-01-01,add_to_cart,/cart,Product,Social Media,Tablet,Firefox,Windows,475,20.65,true,ORD-00061,625.04
WEB-000062,SES-000062,C0015,CMP-001,STR-005,P104,2025-01-01T07:07:00+00:00,2025-01-01,checkout_start,/cart,Landing,Direct,Mobile,Firefox,macOS,78,30.79,false,,0.00
WEB-000063,SES-000063,C0262,CMP-003,STR-006,P107,2025-01-01T07:14:00+00:00,2025-01-01,product_view,/cart,Support,Direct,Tablet,Edge,iOS,265,60.91,true,ORD-00063,2103.59
WEB-000064,SES-000064,C0447,CMP-003,STR-006,P105,2025-01-01T07:21:00+00:00,2025-01-01,checkout_start,/home,Landing,Organic,Desktop,Safari,Windows,818,47.75,false,,0.00
WEB-000065,SES-000065,C0848,CMP-002,STR-003,P106,2025-01-01T07:28:00+00:00,2025-01-01,purchase,/checkout,Landing,Referral,Tablet,Firefox,Windows,250,75.02,false,,0.00
WEB-000066,SES-000066,C0087,CMP-005,STR-003,P104,2025-01-01T07:35:00+00:00,2025-01-01,page_view,/checkout,Catalog,Referral,Mobile,Chrome,iOS,746,18.27,false,,0.00
WEB-000067,SES-000067,C0384,CMP-002,STR-006,P109,2025-01-01T07:42:00+00:00,2025-01-01,purchase,/checkout,Product,Referral,Tablet,Edge,iOS,820,48.73,true,ORD-00067,1098.50
WEB-000068,SES-000068,C0412,CMP-001,STR-006,P110,2025-01-01T07:49:00+00:00,2025-01-01,product_view,/home,Catalog,Social Media,Mobile,Edge,iOS,264,48.23,false,,0.00
WEB-000069,SES-000069,C0245,CMP-002,STR-001,P101,2025-01-01T07:56:00+00:00,2025-01-01,checkout_start,/product,Product,Direct,Tablet,Firefox,iOS,153,75.12,true,ORD-00069,2198.13
WEB-000070,SES-000070,C0689,CMP-001,STR-005,P101,2025-01-01T08:03:00+00:00,2025-01-01,page_view,/product,Landing,Partner,Mobile,Chrome,macOS,648,24.26,false,,0.00
WEB-000071,SES-000071,C0701,CMP-005,STR-001,P104,2025-01-01T08:10:00+00:00,2025-01-01,purchase,/cart,Product,Social Media,Tablet,Firefox,iOS,873,79.69,false,,0.00
WEB-000072,SES-000072,C0026,CMP-006,STR-003,P106,2025-01-01T08:17:00+00:00,2025-01-01,checkout_start,/cart,Landing,Direct,Mobile,Firefox,macOS,554,5.02,false,,0.00
WEB-000073,SES-000073,C0751,CMP-005,STR-006,P108,2025-01-01T08:24:00+00:00,2025-01-01,page_view,/category,Catalog,Organic,Mobile,Edge,iOS,187,38.96,true,ORD-00073,1768.63
WEB-000074,SES-000074,C0517,CMP-003,STR-004,P109,2025-01-01T08:31:00+00:00,2025-01-01,page_view,/home,Support,Direct,Tablet,Chrome,Android,627,98.81,false,,0.00
WEB-000075,SES-000075,C0204,CMP-006,STR-001,P101,2025-01-01T08:38:00+00:00,2025-01-01,page_view,/campaign-landing,Product,Referral,Mobile,Edge,macOS,178,43.87,false,,0.00
WEB-000076,SES-000076,C0350,CMP-002,STR-006,P107,2025-01-01T08:45:00+00:00,2025-01-01,purchase,/product,Landing,Social Media,Desktop,Edge,Android,622,92.67,false,,0.00
WEB-000077,SES-000077,C0463,CMP-001,STR-005,P106,2025-01-01T08:52:00+00:00,2025-01-01,add_to_cart,/product,Checkout,Partner,Tablet,Chrome,Windows,99,37.02,false,,0.00
WEB-000078,SES-000078,C0214,CMP-001,STR-006,P110,2025-01-01T08:59:00+00:00,2025-01-01,product_view,/home,Support,Referral,Tablet,Chrome,Android,354,52.2,false,,0.00
WEB-000079,SES-000079,C0014,CMP-002,STR-006,P108,2025-01-01T09:06:00+00:00,2025-01-01,page_view,/cart,Catalog,Direct,Mobile,Edge,iOS,248,86.1,false,,0.00
WEB-000080,SES-000080,C0501,CMP-005,STR-006,P103,2025-01-01T09:13:00+00:00,2025-01-01,product_view,/checkout,Product,Paid Search,Tablet,Firefox,Android,508,44.67,false,,0.00
WEB-000081,SES-000081,C0282,CMP-001,STR-001,P108,2025-01-01T09:20:00+00:00,2025-01-01,page_view,/campaign-landing,Product,Organic,Mobile,Chrome,iOS,757,52.33,true,ORD-00081,5224.92
WEB-000082,SES-000082,C0977,CMP-001,STR-006,P104,2025-01-01T09:27:00+00:00,2025-01-01,product_view,/home,Landing,Partner,Tablet,Edge,Android,391,50.66,false,,0.00
WEB-000083,SES-000083,C0860,CMP-003,STR-001,P108,2025-01-01T09:34:00+00:00,2025-01-01,checkout_start,/category,Support,Organic,Desktop,Chrome,iOS,301,69.47,false,,0.00
WEB-000084,SES-000084,C0408,CMP-002,STR-002,P108,2025-01-01T09:41:00+00:00,2025-01-01,page_view,/home,Checkout,Paid Search,Tablet,Firefox,Windows,515,64.73,false,,0.00
WEB-000085,SES-000085,C0441,CMP-006,STR-002,P108,2025-01-01T09:48:00+00:00,2025-01-01,page_view,/cart,Checkout,Organic,Tablet,Chrome,Windows,456,74.47,true,ORD-00085,2939.36
WEB-000086,SES-000086,C0165,CMP-001,STR-005,P110,2025-01-01T09:55:00+00:00,2025-01-01,purchase,/category,Product,Referral,Tablet,Chrome,Windows,823,94.19,false,,0.00
WEB-000087,SES-000087,C0786,CMP-003,STR-004,P107,2025-01-01T10:02:00+00:00,2025-01-01,checkout_start,/product,Catalog,Social Media,Tablet,Firefox,Windows,367,61.95,false,,0.00
WEB-000088,SES-000088,C0644,CMP-006,STR-003,P108,2025-01-01T10:09:00+00:00,2025-01-01,page_view,/cart,Landing,Paid Search,Mobile,Edge,macOS,716,11.98,false,,0.00
WEB-000089,SES-000089,C0167,CMP-001,STR-005,P104,2025-01-01T10:16:00+00:00,2025-01-01,add_to_cart,/product,Landing,Referral,Desktop,Safari,Android,23,74.51,false,,0.00
WEB-000090,SES-000090,C0870,CMP-001,STR-001,P101,2025-01-01T10:23:00+00:00,2025-01-01,product_view,/cart,Landing,Social Media,Tablet,Safari,Android,877,49.38,true,ORD-00090,5606.50
WEB-000091,SES-000091,C0972,CMP-002,STR-005,P107,2025-01-01T10:30:00+00:00,2025-01-01,product_view,/campaign-landing,Checkout,Social Media,Desktop,Safari,iOS,460,99.33,false,,0.00
WEB-000092,SES-000092,C0821,CMP-004,STR-002,P103,2025-01-01T10:37:00+00:00,2025-01-01,add_to_cart,/home,Landing,Direct,Desktop,Safari,macOS,438,68.23,false,,0.00
WEB-000093,SES-000093,C0171,CMP-005,STR-001,P106,2025-01-01T10:44:00+00:00,2025-01-01,checkout_start,/checkout,Landing,Paid Search,Desktop,Firefox,macOS,434,94.3,false,,0.00
WEB-000094,SES-000094,C0456,CMP-006,STR-004,P102,2025-01-01T10:51:00+00:00,2025-01-01,add_to_cart,/home,Catalog,Social Media,Tablet,Firefox,iOS,760,53.1,false,,0.00
WEB-000095,SES-000095,C0342,CMP-004,STR-004,P103,2025-01-01T10:58:00+00:00,2025-01-01,page_view,/checkout,Product,Partner,Tablet,Safari,Android,840,36.59,false,,0.00
WEB-000096,SES-000096,C0756,CMP-001,STR-003,P105,2025-01-01T11:05:00+00:00,2025-01-01,add_to_cart,/checkout,Support,Direct,Mobile,Firefox,iOS,631,69.29,false,,0.00
WEB-000097,SES-000097,C0352,CMP-003,STR-004,P103,2025-01-01T11:12:00+00:00,2025-01-01,product_view,/home,Product,Paid Search,Tablet,Chrome,Windows,81,42.0,false,,0.00
WEB-000098,SES-000098,C0642,CMP-001,STR-002,P107,2025-01-01T11:19:00+00:00,2025-01-01,page_view,/category,Product,Paid Search,Tablet,Chrome,iOS,367,62.6,false,,0.00
WEB-000099,SES-000099,C0696,CMP-006,STR-001,P108,2025-01-01T11:26:00+00:00,2025-01-01,product_view,/category,Product,Social Media,Tablet,Safari,iOS,629,12.96,false,,0.00
WEB-000100,SES-000100,C0933,CMP-002,STR-003,P108,2025-01-01T11:33:00+00:00,2025-01-01,add_to_cart,/category,Support,Partner,Tablet,Edge,Windows,512,94.31,false,,0.00
WEB-000101,SES-000101,C0793,CMP-001,STR-004,P105,2025-01-01T11:40:00+00:00,2025-01-01,purchase,/cart,Catalog,Direct,Desktop,Chrome,macOS,115,54.2,false,,0.00
WEB-000102,SES-000102,C0408,CMP-006,STR-002,P101,2025-01-01T11:47:00+00:00,2025-01-01,page_view,/checkout,Checkout,Referral,Mobile,Edge,iOS,714,76.37,false,,0.00
WEB-000103,SES-000103,C0256,CMP-004,STR-005,P106,2025-01-01T11:54:00+00:00,2025-01-01,purchase,/home,Support,Direct,Tablet,Firefox,iOS,249,46.92,false,,0.00
WEB-000104,SES-000104,C0721,CMP-004,STR-004,P107,2025-01-01T12:01:00+00:00,2025-01-01,purchase,/checkout,Product,Social Media,Desktop,Safari,Windows,249,35.52,false,,0.00
WEB-000105,SES-000105,C0656,CMP-002,STR-004,P104,2025-01-01T12:08:00+00:00,2025-01-01,add_to_cart,/checkout,Checkout,Direct,Tablet,Safari,macOS,481,59.87,false,,0.00
WEB-000106,SES-000106,C0320,CMP-003,STR-005,P106,2025-01-01T12:15:00+00:00,2025-01-01,add_to_cart,/home,Support,Referral,Tablet,Safari,Android,400,12.25,false,,0.00
WEB-000107,SES-000107,C0934,CMP-004,STR-004,P108,2025-01-01T12:22:00+00:00,2025-01-01,add_to_cart,/product,Checkout,Social Media,Desktop,Edge,macOS,567,40.57,false,,0.00
WEB-000108,SES-000108,C0311,CMP-005,STR-004,P107,2025-01-01T12:29:00+00:00,2025-01-01,purchase,/campaign-landing,Checkout,Direct,Tablet,Safari,Windows,40,38.5,false,,0.00
WEB-000109,SES-000109,C0381,CMP-006,STR-005,P103,2025-01-01T12:36:00+00:00,2025-01-01,purchase,/home,Support,Direct,Desktop,Chrome,Windows,658,45.15,false,,0.00
WEB-000110,SES-000110,C0700,CMP-006,STR-005,P106,2025-01-01T12:43:00+00:00,2025-01-01,product_view,/category,Checkout,Paid Search,Tablet,Edge,Windows,512,13.05,false,,0.00
WEB-000111,SES-000111,C0468,CMP-001,STR-004,P107,2025-01-01T12:50:00+00:00,2025-01-01,add_to_cart,/category,Product,Direct,Mobile,Chrome,iOS,593,59.69,false,,0.00
WEB-000112,SES-000112,C0894,CMP-006,STR-002,P101,2025-01-01T12:57:00+00:00,2025-01-01,checkout_start,/campaign-landing,Product,Partner,Tablet,Chrome,macOS,733,23.2,false,,0.00
WEB-000113,SES-000113,C0661,CMP-006,STR-001,P110,2025-01-01T13:04:00+00:00,2025-01-01,checkout_start,/campaign-landing,Product,Paid Search,Desktop,Firefox,Windows,708,90.76,true,ORD-00113,1003.17
WEB-000114,SES-000114,C0257,CMP-005,STR-006,P105,2025-01-01T13:11:00+00:00,2025-01-01,product_view,/checkout,Support,Organic,Tablet,Firefox,Windows,351,59.01,true,ORD-00114,1008.18
WEB-000115,SES-000115,C0347,CMP-005,STR-001,P104,2025-01-01T13:18:00+00:00,2025-01-01,page_view,/campaign-landing,Checkout,Social Media,Desktop,Chrome,macOS,206,38.16,false,,0.00
WEB-000116,SES-000116,C0610,CMP-002,STR-005,P103,2025-01-01T13:25:00+00:00,2025-01-01,page_view,/checkout,Support,Partner,Tablet,Chrome,Android,424,12.6,false,,0.00
WEB-000117,SES-000117,C0712,CMP-002,STR-004,P110,2025-01-01T13:32:00+00:00,2025-01-01,checkout_start,/checkout,Catalog,Social Media,Tablet,Safari,iOS,409,13.06,false,,0.00
WEB-000118,SES-000118,C0564,CMP-003,STR-004,P107,2025-01-01T13:39:00+00:00,2025-01-01,purchase,/checkout,Product,Social Media,Tablet,Safari,Windows,143,71.2,false,,0.00
WEB-000119,SES-000119,C0001,CMP-003,STR-002,P101,2025-01-01T13:46:00+00:00,2025-01-01,purchase,/campaign-landing,Landing,Direct,Mobile,Safari,iOS,61,76.52,false,,0.00
WEB-000120,SES-000120,C0011,CMP-001,STR-001,P108,2025-01-01T13:53:00+00:00,2025-01-01,add_to_cart,/category,Checkout,Organic,Desktop,Safari,Android,488,43.07,false,,0.00
WEB-000121,SES-000121,C0376,CMP-001,STR-003,P105,2025-01-01T14:00:00+00:00,2025-01-01,product_view,/cart,Catalog,Partner,Desktop,Edge,Android,240,82.39,false,,0.00
WEB-000122,SES-000122,C0679,CMP-004,STR-002,P109,2025-01-01T14:07:00+00:00,2025-01-01,checkout_start,/checkout,Support,Referral,Desktop,Firefox,Windows,697,77.23,true,ORD-00122,5903.52
WEB-000123,SES-000123,C0332,CMP-005,STR-001,P106,2025-01-01T14:14:00+00:00,2025-01-01,checkout_start,/category,Checkout,Partner,Tablet,Firefox,Android,23,69.35,true,ORD-00123,1093.51
WEB-000124,SES-000124,C0914,CMP-006,STR-002,P109,2025-01-01T14:21:00+00:00,2025-01-01,checkout_start,/home,Catalog,Organic,Desktop,Edge,iOS,531,78.5,false,,0.00
WEB-000125,SES-000125,C0984,CMP-004,STR-003,P109,2025-01-01T14:28:00+00:00,2025-01-01,add_to_cart,/home,Checkout,Paid Search,Tablet,Safari,iOS,776,91.43,false,,0.00
WEB-000126,SES-000126,C0480,CMP-003,STR-006,P110,2025-01-01T14:35:00+00:00,2025-01-01,page_view,/campaign-landing,Checkout,Direct,Desktop,Chrome,macOS,262,61.48,false,,0.00
WEB-000127,SES-000127,C0576,CMP-001,STR-004,P110,2025-01-01T14:42:00+00:00,2025-01-01,product_view,/category,Landing,Social Media,Mobile,Chrome,Windows,62,66.9,false,,0.00
WEB-000128,SES-000128,C0890,CMP-004,STR-002,P103,2025-01-01T14:49:00+00:00,2025-01-01,product_view,/home,Support,Organic,Tablet,Firefox,Windows,776,96.74,false,,0.00
WEB-000129,SES-000129,C0822,CMP-001,STR-005,P101,2025-01-01T14:56:00+00:00,2025-01-01,purchase,/category,Catalog,Partner,Desktop,Chrome,Windows,357,75.75,false,,0.00
WEB-000130,SES-000130,C0353,CMP-006,STR-004,P106,2025-01-01T15:03:00+00:00,2025-01-01,purchase,/cart,Checkout,Paid Search,Desktop,Firefox,Windows,262,48.97,false,,0.00
WEB-000131,SES-000131,C0800,CMP-004,STR-002,P104,2025-01-01T15:10:00+00:00,2025-01-01,product_view,/category,Catalog,Organic,Mobile,Chrome,Windows,631,26.25,false,,0.00
WEB-000132,SES-000132,C0119,CMP-006,STR-001,P110,2025-01-01T15:17:00+00:00,2025-01-01,purchase,/cart,Landing,Referral,Desktop,Firefox,macOS,531,10.48,false,,0.00
WEB-000133,SES-000133,C0858,CMP-005,STR-004,P105,2025-01-01T15:24:00+00:00,2025-01-01,product_view,/product,Checkout,Direct,Mobile,Safari,Android,95,17.89,false,,0.00
WEB-000134,SES-000134,C0097,CMP-001,STR-006,P101,2025-01-01T15:31:00+00:00,2025-01-01,purchase,/home,Support,Organic,Mobile,Firefox,iOS,209,34.2,false,,0.00
WEB-000135,SES-000135,C0200,CMP-003,STR-005,P101,2025-01-01T15:38:00+00:00,2025-01-01,page_view,/campaign-landing,Checkout,Partner,Mobile,Safari,Windows,362,22.95,false,,0.00
WEB-000136,SES-000136,C0369,CMP-003,STR-002,P106,2025-01-01T15:45:00+00:00,2025-01-01,product_view,/product,Support,Partner,Tablet,Edge,macOS,686,52.65,false,,0.00
WEB-000137,SES-000137,C0991,CMP-004,STR-005,P109,2025-01-01T15:52:00+00:00,2025-01-01,purchase,/home,Product,Organic,Desktop,Safari,macOS,778,53.33,false,,0.00
WEB-000138,SES-000138,C0361,CMP-004,STR-006,P105,2025-01-01T15:59:00+00:00,2025-01-01,checkout_start,/cart,Product,Partner,Desktop,Chrome,macOS,12,6.07,false,,0.00
