campaign_id,campaign_name,platform_name,channel_group,campaign_objective,budget,actual_spend,start_date,end_date,target_country,target_segment,creative_type,owner_team,agency_name,kpi_goal,status,currency_code,impressions_target,clicks_target,created_at
CMP-005,Email Nurture Feb 2024 59,Email Nurture,CRM,Retention,35863.52,34209.81,2024-02-28,2024-04-14,Bahrain,VIP,Static,Performance,BlueFox,Revenue,Completed,AED,1944430,146255,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Feb 2024 60,Affiliate Network,Partner,Acquisition,146108.03,132114.27,2024-02-29,2024-04-27,Qatar,VIP,Static,Brand,MediaHub,ROAS,Completed,GBP,2121675,86013,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 61,Google Ads,Search,Acquisition,55580.32,52855.14,2024-03-01,2024-04-16,UK,Basic,Video,Performance,BlueFox,Leads,Completed,KWD,1206244,171972,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 62,Meta Ads,Social,Acquisition,52103.80,36902.87,2024-03-02,2024-05-14,USA,Basic,Video,CRM,MediaHub,CAC,Completed,BHD,1207331,202785,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 63,TikTok Ads,Social,Awareness,92986.94,87834.68,2024-03-03,2024-05-24,Bahrain,Basic,Search Text,Performance,AdSpark,CAC,Active,QAR,2715598,169169,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 64,LinkedIn Ads,B2B,Lead Generation,111854.70,94597.10,2024-03-04,2024-06-12,UAE,Premium,Search Text,CRM,InHouse,Revenue,Paused,AED,2757498,143318,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 65,Email Nurture,CRM,Retention,120577.03,81619.63,2024-03-05,2024-03-26,Kuwait,Premium,Video,Brand,BlueFox,CAC,Active,EUR,2563831,208834,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 66,Affiliate Network,Partner,Acquisition,50099.96,43493.15,2024-03-06,2024-04-18,Egypt,VIP,Static,Brand,MediaHub,Leads,Active,AED,2946032,207527,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 67,Google Ads,Search,Acquisition,111565.33,95486.63,2024-03-07,2024-06-10,Kuwait,Enterprise,Search Text,Brand,InHouse,Revenue,Paused,EGP,1179599,67611,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 68,Meta Ads,Social,Acquisition,137684.89,142118.98,2024-03-08,2024-04-23,UK,VIP,Search Text,Growth,MediaHub,Leads,Completed,SAR,2002761,159011,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 69,TikTok Ads,Social,Awareness,34181.52,31851.39,2024-03-09,2024-06-10,KSA,Basic,Carousel,CRM,InHouse,CAC,Completed,BHD,2116963,135346,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 70,LinkedIn Ads,B2B,Lead Generation,39807.60,34455.34,2024-03-10,2024-06-16,Kuwait,Enterprise,Static,Growth,BlueFox,Leads,Paused,EGP,2020503,28434,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 71,Email Nurture,CRM,Retention,126282.36,116484.05,2024-03-11,2024-04-29,UK,Enterprise,Static,Growth,InHouse,Revenue,Completed,QAR,744127,71202,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 72,Affiliate Network,Partner,Acquisition,135874.67,133518.14,2024-03-12,2024-04-11,USA,Enterprise,Static,CRM,MediaHub,ROAS,Active,SAR,2719819,173892,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 73,Google Ads,Search,Acquisition,75995.44,61310.00,2024-03-13,2024-06-05,Egypt,Premium,Static,Growth,MediaHub,CAC,Active,SAR,197829,214965,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 74,Meta Ads,Social,Acquisition,4205.62,3120.60,2024-03-14,2024-04-11,UAE,Basic,Video,Performance,AdSpark,Revenue,Paused,SAR,200042,239561,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 75,TikTok Ads,Social,Awareness,77172.63,69652.28,2024-03-15,2024-04-01,Bahrain,Enterprise,Video,Growth,InHouse,Leads,Active,KWD,1619421,209891,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 76,LinkedIn Ads,B2B,Lead Generation,44737.06,45493.46,2024-03-16,2024-04-10,USA,VIP,Carousel,CRM,InHouse,ROAS,Paused,QAR,1776389,206268,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 77,Email Nurture,CRM,Retention,115432.29,100441.40,2024-03-17,2024-07-05,Egypt,Premium,Carousel,Brand,AdSpark,Leads,Completed,SAR,156252,1956,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 78,Affiliate Network,Partner,Acquisition,110533.62,115820.89,2024-03-18,2024-04-26,Bahrain,Enterprise,Static,Growth,BlueFox,Leads,Paused,EUR,1845154,219651,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 79,Google Ads,Search,Acquisition,51048.30,51618.80,2024-03-19,2024-04-11,UAE,Enterprise,Search Text,Performance,AdSpark,Leads,Active,SAR,64701,238236,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 80,Meta Ads,Social,Acquisition,60162.13,48032.69,2024-03-20,2024-06-24,KSA,Basic,Static,Brand,InHouse,Revenue,Completed,KWD,431827,105549,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 81,TikTok Ads,Social,Awareness,123055.85,125089.12,2024-03-21,2024-06-21,UK,Enterprise,Video,Growth,BlueFox,CAC,Paused,EUR,2309463,54032,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 82,LinkedIn Ads,B2B,Lead Generation,83986.24,67287.11,2024-03-22,2024-05-12,Kuwait,Premium,Search Text,Performance,InHouse,CAC,Completed,EUR,2350547,146600,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 83,Email Nurture,CRM,Retention,134860.50,118178.40,2024-03-23,2024-06-11,Bahrain,Enterprise,Video,Brand,InHouse,Leads,Completed,EUR,767533,96163,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 84,Affiliate Network,Partner,Acquisition,126896.16,111381.82,2024-03-24,2024-06-04,Kuwait,Basic,Static,CRM,InHouse,ROAS,Active,EUR,2952481,201278,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 85,Google Ads,Search,Acquisition,69273.71,71723.01,2024-03-25,2024-05-23,Egypt,Enterprise,Video,Brand,InHouse,ROAS,Completed,KWD,593847,247610,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Mar 2024 86,Meta Ads,Social,Acquisition,118026.83,93770.28,2024-03-26,2024-04-18,Qatar,Basic,Search Text,Performance,AdSpark,Leads,Completed,SAR,2824227,197071,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Mar 2024 87,TikTok Ads,Social,Awareness,74265.11,59712.02,2024-03-27,2024-04-27,Egypt,Basic,Video,CRM,BlueFox,ROAS,Completed,EUR,587852,115227,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Mar 2024 88,LinkedIn Ads,B2B,Lead Generation,28199.87,19919.41,2024-03-28,2024-05-15,Bahrain,VIP,Video,Performance,InHouse,Leads,Completed,KWD,1127366,241188,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Mar 2024 89,Email Nurture,CRM,Retention,17574.90,15315.13,2024-03-29,2024-04-28,UK,VIP,Search Text,Growth,BlueFox,Revenue,Completed,EGP,22105,222491,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Mar 2024 90,Affiliate Network,Partner,Acquisition,22947.32,22667.95,2024-03-30,2024-06-25,Qatar,Enterprise,Video,Growth,InHouse,ROAS,Completed,EUR,930890,243572,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Mar 2024 91,Google Ads,Search,Acquisition,134974.51,109869.72,2024-03-31,2024-07-13,UAE,Enterprise,Static,CRM,MediaHub,Leads,Paused,EGP,2120148,43717,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 92,Meta Ads,Social,Acquisition,92431.93,92891.29,2024-04-01,2024-06-25,UK,Basic,Video,Growth,AdSpark,CAC,Active,QAR,1908442,64011,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 93,TikTok Ads,Social,Awareness,22164.96,18128.15,2024-04-02,2024-04-27,Kuwait,VIP,Video,Performance,InHouse,ROAS,Paused,AED,393639,31452,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 94,LinkedIn Ads,B2B,Lead Generation,57026.62,37090.70,2024-04-03,2024-06-29,Egypt,Enterprise,Video,Growth,BlueFox,CAC,Paused,SAR,192953,196000,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 95,Email Nurture,CRM,Retention,35657.09,34829.00,2024-04-04,2024-06-03,Bahrain,Basic,Static,CRM,InHouse,ROAS,Paused,SAR,1814339,156621,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 96,Affiliate Network,Partner,Acquisition,102711.84,66951.83,2024-04-05,2024-05-29,Bahrain,VIP,Video,Brand,BlueFox,Leads,Active,EGP,2390212,137813,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 97,Google Ads,Search,Acquisition,63154.25,55078.92,2024-04-06,2024-06-18,USA,Enterprise,Carousel,CRM,BlueFox,Leads,Paused,SAR,1744007,220239,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 98,Meta Ads,Social,Acquisition,15037.44,13530.12,2024-04-07,2024-07-23,Egypt,Enterprise,Static,Brand,InHouse,CAC,Completed,SAR,158988,68585,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 99,TikTok Ads,Social,Awareness,8719.78,6894.89,2024-04-08,2024-06-03,Kuwait,Premium,Static,Growth,AdSpark,Leads,Active,KWD,1846477,68117,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 100,LinkedIn Ads,B2B,Lead Generation,115063.25,112709.35,2024-04-09,2024-06-29,Qatar,Premium,Search Text,Growth,AdSpark,Leads,Completed,EUR,173233,196384,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 101,Email Nurture,CRM,Retention,68275.09,60444.92,2024-04-10,2024-06-17,USA,VIP,Carousel,CRM,BlueFox,CAC,Paused,GBP,1614845,242470,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 102,Affiliate Network,Partner,Acquisition,136347.56,141476.80,2024-04-11,2024-08-05,UK,Enterprise,Static,Growth,BlueFox,Leads,Active,BHD,1873669,244010,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 103,Google Ads,Search,Acquisition,106293.81,85820.50,2024-04-12,2024-05-31,Bahrain,VIP,Carousel,Growth,BlueFox,Revenue,Active,GBP,2377982,48912,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 104,Meta Ads,Social,Acquisition,124048.49,110108.75,2024-04-13,2024-07-29,Qatar,VIP,Video,Growth,AdSpark,Leads,Completed,AED,2803752,158309,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 105,TikTok Ads,Social,Awareness,133643.52,92199.59,2024-04-14,2024-05-11,KSA,Basic,Search Text,Performance,InHouse,ROAS,Active,KWD,1247034,185591,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 106,LinkedIn Ads,B2B,Lead Generation,102932.62,69128.86,2024-04-15,2024-06-24,Egypt,Premium,Video,Performance,BlueFox,CAC,Paused,QAR,2940277,247545,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 107,Email Nurture,CRM,Retention,103023.01,108100.43,2024-04-16,2024-05-10,KSA,Premium,Static,Performance,BlueFox,Leads,Active,AED,672316,226425,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 108,Affiliate Network,Partner,Acquisition,114412.89,106387.33,2024-04-17,2024-06-23,UAE,Basic,Carousel,Growth,BlueFox,CAC,Completed,EGP,1465526,210177,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Apr 2024 109,Google Ads,Search,Acquisition,103585.04,91701.79,2024-04-18,2024-07-24,Bahrain,VIP,Video,Performance,BlueFox,ROAS,Paused,SAR,1867834,185597,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Apr 2024 110,Meta Ads,Social,Acquisition,126989.67,106097.11,2024-04-19,2024-05-27,UAE,VIP,Carousel,Growth,MediaHub,ROAS,Active,AED,1656979,76457,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Apr 2024 111,TikTok Ads,Social,Awareness,94062.02,97630.16,2024-04-20,2024-07-29,UAE,Premium,Video,Growth,BlueFox,Leads,Active,AED,909732,113304,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Apr 2024 112,LinkedIn Ads,B2B,Lead Generation,76959.38,71533.12,2024-04-21,2024-05-10,UK,Basic,Video,Brand,InHouse,CAC,Completed,KWD,2591064,162637,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Apr 2024 113,Email Nurture,CRM,Retention,144056.96,114333.64,2024-04-22,2024-05-28,USA,VIP,Carousel,CRM,InHouse,Leads,Paused,SAR,149492,16551,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Apr 2024 114,Affiliate Network,Partner,Acquisition,144635.61,126955.03,2024-04-23,2024-06-28,UAE,Basic,Search Text,Performance,InHouse,ROAS,Completed,EUR,1852273,126173,2024-01-01T00:00:00+00:00
