scrape_id,product_id,sku,product_name,category,brand,supplier_name,supplier_country,price,original_price,discount_pct,currency_code,availability_status,stock_qty,rating,review_count,scrape_timestamp,source_site,page_url,crawl_region
SCR-00011,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Alpha Supply,USA,527.83,600.29,12.07,EUR,Low Stock,38,4.7,4332,2024-01-02T15:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p101,EMEA
SCR-00012,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Vertex Global,Bahrain,652.77,735.18,11.21,EUR,Low Stock,247,3.3,4251,2024-01-02T18:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p102,GCC
SCR-00013,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Delta Trade,KSA,278.19,293.05,5.07,KWD,Out of Stock,229,3.9,1678,2024-01-02T21:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p103,Global
SCR-00014,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,Egypt,816.47,851.02,4.06,QAR,Out of Stock,246,3.5,1723,2024-01-03T00:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p104,GCC
SCR-00015,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Delta Trade,Bahrain,124.64,132.27,5.77,EUR,In Stock,214,3.4,4157,2024-01-03T03:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p105,Global
SCR-00016,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Vertex Global,UK,761.77,921.68,17.35,AED,Out of Stock,110,4.5,2093,2024-01-03T06:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p106,EMEA
SCR-00017,P107,SKU-P107,Webcam 4K,Video,ClearView,Prime Distribution,UK,774.01,940.59,17.71,KWD,Low Stock,184,4.6,366,2024-01-03T09:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p107,EMEA
SCR-00018,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Vertex Global,Kuwait,716.59,834.50,14.13,KWD,In Stock,187,4.1,1128,2024-01-03T12:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p108,EMEA
SCR-00019,P109,SKU-P109,Desk Lamp,Office,BrightNest,Vertex Global,USA,1107.04,1115.29,0.74,SAR,Out of Stock,146,4.4,4618,2024-01-03T15:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p109,EMEA
SCR-00020,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Alpha Supply,USA,1182.44,1418.81,16.66,EUR,In Stock,161,4.4,3045,2024-01-03T18:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p110,Global
SCR-00021,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Vertex Global,Egypt,1328.81,1565.33,15.11,EUR,Out of Stock,51,4.5,3686,2024-01-03T21:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p101,GCC
SCR-00022,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Delta Trade,Bahrain,168.58,170.82,1.31,AED,Low Stock,72,4.0,3308,2024-01-04T00:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p102,GCC
SCR-00023,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Alpha Supply,UK,1419.16,1511.03,6.08,KWD,Low Stock,99,3.8,1816,2024-01-04T03:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p103,Global
SCR-00024,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Delta Trade,Kuwait,327.51,375.20,12.71,SAR,In Stock,234,4.4,1176,2024-01-04T06:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p104,GCC
SCR-00025,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Delta Trade,UAE,1347.86,1632.39,17.43,AED,In Stock,125,3.5,4874,2024-01-04T09:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p105,Global
SCR-00026,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Delta Trade,UAE,510.34,564.97,9.67,GBP,Low Stock,185,4.2,381,2024-01-04T12:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p106,GCC
SCR-00027,P107,SKU-P107,Webcam 4K,Video,ClearView,Delta Trade,Qatar,1187.10,1396.59,15.00,GBP,Out of Stock,126,4.2,3864,2024-01-04T15:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p107,EMEA
SCR-00028,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Alpha Supply,KSA,338.25,346.35,2.34,EGP,Out of Stock,39,4.7,202,2024-01-04T18:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p108,GCC
SCR-00029,P109,SKU-P109,Desk Lamp,Office,BrightNest,Prime Distribution,UAE,1269.35,1347.22,5.78,QAR,Out of Stock,1,4.1,4529,2024-01-04T21:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p109,Global
SCR-00030,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Prime Distribution,UK,1079.96,1095.41,1.41,GBP,Out of Stock,39,4.9,4416,2024-01-05T00:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p110,EMEA
SCR-00031,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Prime Distribution,UK,1021.70,1133.08,9.83,EUR,Out of Stock,57,3.5,722,2024-01-05T03:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p101,GCC
SCR-00032,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Alpha Supply,USA,1521.85,1693.20,10.12,EUR,Out of Stock,116,4.7,1632,2024-01-05T06:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p102,GCC
SCR-00033,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Vertex Global,UAE,467.90,532.43,12.12,QAR,Low Stock,227,3.3,3450,2024-01-05T09:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p103,Global
SCR-00034,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Vertex Global,KSA,816.79,924.07,11.61,QAR,Out of Stock,229,3.2,1243,2024-01-05T12:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p104,GCC
SCR-00035,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Delta Trade,KSA,1225.49,1344.18,8.83,KWD,Out of Stock,173,4.1,4286,2024-01-05T15:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p105,Global
SCR-00036,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Delta Trade,UAE,123.18,143.73,14.30,SAR,In Stock,123,5.0,1301,2024-01-05T18:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p106,Global
SCR-00037,P107,SKU-P107,Webcam 4K,Video,ClearView,Delta Trade,Bahrain,486.22,561.00,13.33,AED,In Stock,159,4.1,2536,2024-01-05T21:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p107,GCC
SCR-00038,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Delta Trade,UK,1311.28,1378.12,4.85,GBP,Low Stock,74,3.5,1140,2024-01-06T00:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p108,EMEA
SCR-00039,P109,SKU-P109,Desk Lamp,Office,BrightNest,Alpha Supply,Bahrain,826.46,917.07,9.88,BHD,In Stock,39,4.1,1767,2024-01-06T03:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p109,Global
SCR-00040,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Delta Trade,KSA,126.35,127.86,1.18,SAR,Out of Stock,221,4.0,772,2024-01-06T06:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p110,Global
SCR-00041,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Delta Trade,Bahrain,1215.28,1391.60,12.67,GBP,Low Stock,230,3.5,748,2024-01-06T09:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p101,Global
SCR-00042,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Delta Trade,UK,283.11,285.48,0.83,EUR,In Stock,27,4.3,463,2024-01-06T12:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p102,EMEA
SCR-00043,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Vertex Global,UK,1340.22,1615.31,17.03,BHD,Low Stock,213,4.0,4428,2024-01-06T15:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p103,GCC
SCR-00044,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,Kuwait,1060.97,1151.73,7.88,EUR,In Stock,185,3.5,167,2024-01-06T18:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p104,Global
SCR-00045,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Prime Distribution,Qatar,1292.84,1433.78,9.83,SAR,Out of Stock,247,3.4,2533,2024-01-06T21:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p105,Global
SCR-00046,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Alpha Supply,Egypt,570.91,639.03,10.66,AED,Low Stock,88,3.5,797,2024-01-07T00:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p106,EMEA
SCR-00047,P107,SKU-P107,Webcam 4K,Video,ClearView,Delta Trade,Qatar,1523.00,1616.09,5.76,AED,In Stock,79,3.5,4992,2024-01-07T03:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p107,EMEA
SCR-00048,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Vertex Global,Kuwait,959.02,1028.11,6.72,QAR,Out of Stock,164,3.3,4812,2024-01-07T06:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p108,Global
SCR-00049,P109,SKU-P109,Desk Lamp,Office,BrightNest,Alpha Supply,Bahrain,1350.70,1354.22,0.26,AED,Low Stock,122,3.7,1730,2024-01-07T09:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p109,EMEA
SCR-00050,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Prime Distribution,Qatar,1557.22,1673.71,6.96,QAR,Low Stock,29,3.5,1913,2024-01-07T12:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p110,GCC
SCR-00051,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Vertex Global,UAE,1363.92,1555.21,12.30,GBP,Low Stock,191,3.3,3909,2024-01-07T15:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p101,GCC
SCR-00052,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Delta Trade,USA,577.38,592.25,2.51,AED,Low Stock,44,3.8,3842,2024-01-07T18:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p102,GCC
SCR-00053,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Vertex Global,Bahrain,1357.96,1618.35,16.09,GBP,In Stock,129,4.9,3225,2024-01-07T21:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p103,GCC
SCR-00054,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,KSA,545.78,581.54,6.15,QAR,Out of Stock,232,3.7,924,2024-01-08T00:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p104,Global
SCR-00055,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Delta Trade,UK,1311.51,1489.68,11.96,QAR,Out of Stock,107,4.0,2422,2024-01-08T03:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p105,GCC
SCR-00056,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Delta Trade,UAE,510.36,511.84,0.29,AED,Out of Stock,170,4.8,2781,2024-01-08T06:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p106,Global
SCR-00057,P107,SKU-P107,Webcam 4K,Video,ClearView,Alpha Supply,Qatar,989.49,1202.88,17.74,AED,Low Stock,32,3.6,4939,2024-01-08T09:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p107,Global
SCR-00058,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Alpha Supply,UK,920.24,1113.69,17.37,QAR,In Stock,113,4.4,1609,2024-01-08T12:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p108,GCC
SCR-00059,P109,SKU-P109,Desk Lamp,Office,BrightNest,Delta Trade,USA,1177.30,1264.01,6.86,KWD,Low Stock,103,4.7,4522,2024-01-08T15:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p109,GCC
SCR-00060,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Delta Trade,Egypt,42.75,47.27,9.56,QAR,Low Stock,244,3.9,4728,2024-01-08T18:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p110,EMEA
SCR-00061,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Vertex Global,KSA,392.43,405.86,3.31,QAR,Low Stock,83,4.6,627,2024-01-08T21:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p101,Global
SCR-00062,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Vertex Global,KSA,471.55,481.37,2.04,SAR,Out of Stock,67,3.5,337,2024-01-09T00:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p102,Global
SCR-00063,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Delta Trade,UK,57.22,62.26,8.09,SAR,Out of Stock,166,4.0,3455,2024-01-09T03:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p103,GCC
SCR-00064,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Alpha Supply,USA,1186.80,1402.51,15.38,GBP,Low Stock,213,4.0,4976,2024-01-09T06:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p104,EMEA
SCR-00065,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Delta Trade,Egypt,185.88,198.74,6.47,GBP,Out of Stock,201,4.4,3807,2024-01-09T09:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p105,GCC
SCR-00066,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Prime Distribution,Qatar,215.86,262.35,17.72,EUR,In Stock,203,4.7,1519,2024-01-09T12:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p106,EMEA
SCR-00067,P107,SKU-P107,Webcam 4K,Video,ClearView,Alpha Supply,UAE,83.27,88.24,5.63,KWD,Out of Stock,21,3.6,4371,2024-01-09T15:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p107,GCC
SCR-00068,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Alpha Supply,Egypt,262.87,287.32,8.51,AED,Out of Stock,135,4.5,4848,2024-01-09T18:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p108,Global
SCR-00069,P109,SKU-P109,Desk Lamp,Office,BrightNest,Prime Distribution,UK,1310.83,1569.48,16.48,AED,Out of Stock,213,3.8,1316,2024-01-09T21:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p109,GCC
SCR-00070,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Alpha Supply,UK,898.90,1066.18,15.69,QAR,In Stock,99,4.5,1909,2024-01-10T00:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p110,EMEA
SCR-00071,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Prime Distribution,Bahrain,982.83,1180.44,16.74,EUR,Out of Stock,201,4.1,1633,2024-01-10T03:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p101,GCC
SCR-00072,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Alpha Supply,Qatar,672.70,682.60,1.45,KWD,Out of Stock,166,5.0,3816,2024-01-10T06:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p102,EMEA
SCR-00073,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Delta Trade,USA,47.70,49.66,3.94,SAR,Low Stock,231,4.3,4650,2024-01-10T09:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p103,GCC
SCR-00074,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,Bahrain,526.36,548.12,3.97,GBP,In Stock,249,4.4,2160,2024-01-10T12:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p104,GCC
SCR-00075,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Alpha Supply,USA,1749.10,1765.16,0.91,AED,In Stock,155,3.4,748,2024-01-10T15:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p105,Global
SCR-00076,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Vertex Global,UAE,839.51,900.09,6.73,EUR,In Stock,18,4.2,3415,2024-01-10T18:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p106,Global
SCR-00077,P107,SKU-P107,Webcam 4K,Video,ClearView,Vertex Global,UK,439.91,444.67,1.07,QAR,Out of Stock,231,3.6,3927,2024-01-10T21:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p107,GCC
SCR-00078,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Delta Trade,USA,915.44,1011.65,9.51,SAR,Low Stock,20,4.2,1913,2024-01-11T00:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p108,GCC
SCR-00079,P109,SKU-P109,Desk Lamp,Office,BrightNest,Vertex Global,UAE,770.41,898.33,14.24,BHD,In Stock,78,4.7,3124,2024-01-11T03:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p109,EMEA
SCR-00080,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Vertex Global,Egypt,898.89,975.25,7.83,EUR,In Stock,194,4.1,4453,2024-01-11T06:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p110,GCC
SCR-00081,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Delta Trade,Egypt,367.59,382.95,4.01,EGP,Low Stock,15,3.5,2562,2024-01-11T09:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p101,GCC
SCR-00082,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Delta Trade,Bahrain,1649.82,1741.60,5.27,KWD,Low Stock,140,3.5,2656,2024-01-11T12:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p102,EMEA
SCR-00083,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Vertex Global,UAE,281.01,322.93,12.98,AED,Out of Stock,25,3.6,4136,2024-01-11T15:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p103,EMEA
SCR-00084,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Alpha Supply,Qatar,1159.49,1350.92,14.17,EGP,Low Stock,57,3.7,4003,2024-01-11T18:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p104,Global
SCR-00085,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Alpha Supply,UK,1085.62,1192.33,8.95,SAR,Out of Stock,51,3.4,1186,2024-01-11T21:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p105,EMEA
SCR-00086,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Delta Trade,KSA,1080.09,1308.41,17.45,GBP,Low Stock,66,3.4,3591,2024-01-12T00:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p106,GCC
SCR-00087,P107,SKU-P107,Webcam 4K,Video,ClearView,Prime Distribution,UAE,283.30,328.73,13.82,EUR,In Stock,74,3.8,4505,2024-01-12T03:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p107,GCC
SCR-00088,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Vertex Global,Bahrain,1550.69,1761.15,11.95,AED,Out of Stock,115,5.0,2067,2024-01-12T06:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p108,GCC
SCR-00089,P109,SKU-P109,Desk Lamp,Office,BrightNest,Delta Trade,Kuwait,744.15,762.92,2.46,SAR,Out of Stock,66,4.3,876,2024-01-12T09:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p109,Global
SCR-00090,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Delta Trade,Bahrain,460.41,522.24,11.84,EUR,Low Stock,219,3.7,4768,2024-01-12T12:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p110,GCC
SCR-00091,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Vertex Global,UAE,753.47,893.48,15.67,BHD,Out of Stock,204,5.0,1893,2024-01-12T15:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p101,GCC
SCR-00092,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Vertex Global,USA,877.47,906.95,3.25,GBP,In Stock,127,3.7,496,2024-01-12T18:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p102,Global
SCR-00093,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Vertex Global,USA,1388.78,1456.20,4.63,EUR,In Stock,38,4.6,1968,2024-01-12T21:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p103,GCC
SCR-00094,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,Qatar,1036.01,1247.75,16.97,BHD,Low Stock,174,4.1,2390,2024-01-13T00:00:00+00:00,shop-gamma.example,https://shop-alpha.example/products/p104,EMEA
SCR-00095,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Prime Distribution,Bahrain,359.54,433.29,17.02,AED,Out of Stock,63,3.4,2445,2024-01-13T03:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p105,Global
SCR-00096,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Prime Distribution,UK,1254.55,1411.51,11.12,GBP,Low Stock,232,4.6,3209,2024-01-13T06:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p106,Global
SCR-00097,P107,SKU-P107,Webcam 4K,Video,ClearView,Delta Trade,Qatar,364.19,417.60,12.79,EUR,In Stock,204,4.8,866,2024-01-13T09:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p107,EMEA
SCR-00098,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Delta Trade,Kuwait,246.51,266.35,7.45,EGP,Low Stock,188,4.7,3917,2024-01-13T12:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p108,GCC
SCR-00099,P109,SKU-P109,Desk Lamp,Office,BrightNest,Prime Distribution,KSA,983.51,1062.34,7.42,EGP,In Stock,30,4.0,3753,2024-01-13T15:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p109,EMEA
SCR-00100,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Vertex Global,KSA,509.39,558.30,8.76,AED,Low Stock,87,4.5,1852,2024-01-13T18:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p110,Global
SCR-00101,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Prime Distribution,Bahrain,952.39,1088.82,12.53,EUR,In Stock,202,3.4,2243,2024-01-13T21:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p101,EMEA
SCR-00102,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Alpha Supply,Kuwait,417.84,420.79,0.70,EGP,In Stock,181,4.0,1775,2024-01-14T00:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p102,Global
SCR-00103,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Alpha Supply,Bahrain,790.82,915.20,13.59,KWD,Low Stock,56,4.4,1521,2024-01-14T03:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p103,Global
SCR-00104,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,KSA,1308.61,1342.99,2.56,BHD,Low Stock,56,4.4,2694,2024-01-14T06:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p104,GCC
SCR-00105,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Alpha Supply,Qatar,1306.64,1525.38,14.34,BHD,In Stock,76,4.3,2463,2024-01-14T09:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p105,EMEA
SCR-00106,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Alpha Supply,UAE,1036.77,1127.78,8.07,BHD,Out of Stock,195,4.4,4857,2024-01-14T12:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p106,GCC
SCR-00107,P107,SKU-P107,Webcam 4K,Video,ClearView,Prime Distribution,KSA,663.59,716.70,7.41,AED,Out of Stock,113,3.5,4702,2024-01-14T15:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p107,EMEA
SCR-00108,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Prime Distribution,USA,989.17,1175.90,15.88,BHD,Low Stock,211,4.5,3508,2024-01-14T18:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p108,EMEA
SCR-00109,P109,SKU-P109,Desk Lamp,Office,BrightNest,Prime Distribution,USA,1522.57,1558.57,2.31,AED,In Stock,202,3.6,3714,2024-01-14T21:00:00+00:00,shop-beta.example,https://shop-beta.example/products/p109,GCC
SCR-00110,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Vertex Global,UAE,1123.86,1182.51,4.96,GBP,Out of Stock,146,4.5,421,2024-01-15T00:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p110,EMEA
