transaction_id,customer_id,product_id,campaign_id,store_id,session_id,transaction_date,quantity,price,total_amount,order_id,payment_method,currency_code,country_code,city,sales_channel,device_type,promo_code,discount_amount,tax_amount,shipping_amount,fulfillment_status,transaction_status
T00012,C0521,P110,CMP-001,STR-006,SES-000012,9/23/2022,3,444.39,1358.33,ORD-00012,Cash,EGP,UK,Manchester,Marketplace,Mobile,RAMADAN20,80.42,62.64,42.94,Packed,Completed
T00013,C0710,P107,CMP-001,STR-005,SES-000013,7/25/2024,2,1152.05,2273.94,ORD-00013,Google Pay,GBP,Bahrain,Riffa,Retail,Mobile,NONE,149.97,107.71,12.10,Packed,Refunded
T00014,C0933,P103,CMP-002,STR-005,SES-000014,2/17/2023,5,1123.03,5910.16,ORD-00014,Apple Pay,AED,KSA,Riyadh,Retail,Tablet,WELCOME10,5.82,280.47,20.36,In Transit,Pending
T00015,C0115,P102,CMP-004,STR-003,SES-000015,9/30/2024,4,401.23,1667.06,ORD-00015,Cash,EUR,KSA,Dammam,Retail,Mobile,WELCOME10,44.52,78.02,28.64,Packed,Refunded
T00016,C0665,P103,CMP-006,STR-002,SES-000016,9/25/2024,6,1176.90,7304.13,ORD-00016,Google Pay,GBP,Bahrain,Riffa,Retail,Tablet,WELCOME10,109.38,347.60,4.51,In Transit,Pending
T00017,C0548,P104,CMP-001,STR-002,SES-000017,6/30/2022,2,611.35,1274.69,ORD-00017,Apple Pay,GBP,Egypt,Giza,Retail,Desktop,NONE,11.64,60.55,3.08,Returned,Pending
T00018,C0466,P107,CMP-001,STR-002,SES-000018,11/12/2024,4,481.91,1750.53,ORD-00018,Bank Transfer,QAR,Qatar,Doha,Retail,Tablet,NONE,287.44,82.01,28.32,Delivered,Completed
T00019,C0712,P101,CMP-002,STR-005,SES-000019,6/30/2022,4,734.14,3080.79,ORD-00019,Apple Pay,BHD,Bahrain,Manama,Retail,Tablet,WELCOME10,32.83,145.19,31.87,In Transit,Pending
T00020,C0229,P101,CMP-005,STR-002,SES-000020,1/12/2023,4,978.22,3806.41,ORD-00020,Cash,KWD,USA,New York,Online,Tablet,VIP15,303.38,180.48,16.43,Packed,Refunded
T00021,C0605,P109,CMP-006,STR-002,SES-000021,5/13/2023,2,88.04,198.27,ORD-00021,Cash,EUR,USA,Chicago,Online,Tablet,NONE,4.42,8.58,18.03,In Transit,Refunded
T00022,C0819,P103,CMP-002,STR-001,SES-000022,3/7/2024,4,840.00,3528.41,ORD-00022,Bank Transfer,BHD,Bahrain,Riffa,Online,Mobile,VIP15,32.52,166.37,34.56,Delivered,Completed
T00023,C0575,P101,CMP-003,STR-003,SES-000023,6/15/2024,1,1488.03,1364.06,ORD-00023,Cash,GBP,Bahrain,Manama,Marketplace,Mobile,VIP15,197.98,64.50,9.51,Returned,Completed
T00024,C0516,P106,CMP-004,STR-002,SES-000024,3/15/2023,4,828.19,2995.14,ORD-00024,Credit Card,BHD,Bahrain,Manama,Online,Mobile,RAMADAN20,484.57,141.41,25.54,Returned,Refunded
T00025,C0026,P107,CMP-002,STR-005,SES-000025,11/11/2023,6,122.74,778.85,ORD-00025,Cash,AED,Qatar,Al Rayyan,Marketplace,Desktop,RAMADAN20,26.53,35.50,33.44,In Transit,Completed
T00026,C0715,P107,CMP-005,STR-005,SES-000026,5/30/2023,6,348.47,1927.31,ORD-00026,Apple Pay,GBP,Kuwait,Hawalli,Marketplace,Tablet,VIP15,278.41,90.62,24.28,Returned,Completed
T00027,C0928,P109,CMP-003,STR-003,SES-000027,3/30/2023,3,735.73,2179.87,ORD-00027,Cash,KWD,Egypt,Cairo,Retail,Mobile,VIP15,159.47,102.39,29.76,In Transit,Pending
T00028,C0240,P107,CMP-001,STR-005,SES-000028,11/16/2024,6,307.98,1887.87,ORD-00028,Cash,EGP,UAE,Abu Dhabi,Online,Tablet,RAMADAN20,80.84,88.35,32.48,Delivered,Completed
T00029,C0134,P105,CMP-003,STR-003,SES-000029,1/9/2022,2,543.33,1025.78,ORD-00029,Credit Card,EGP,Egypt,Giza,Online,Desktop,WELCOME10,138.10,47.43,29.79,In Transit,Pending
T00030,C0569,P109,CMP-001,STR-004,SES-000030,8/11/2022,6,29.97,225.43,ORD-00030,Apple Pay,EGP,Kuwait,Kuwait City,Retail,Desktop,NONE,6.32,8.68,43.25,Packed,Pending
T00031,C0840,P101,CMP-003,STR-002,SES-000031,10/2/2024,3,157.79,522.01,ORD-00031,Cash,AED,Kuwait,Hawalli,Retail,Tablet,RAMADAN20,11.13,23.11,36.66,In Transit,Completed
T00032,C0880,P102,CMP-001,STR-005,SES-000032,4/26/2024,1,931.71,946.27,ORD-00032,Credit Card,BHD,UK,London,Retail,Tablet,WELCOME10,82.96,42.44,55.08,Packed,Completed
T00033,C0241,P103,CMP-005,STR-003,SES-000033,3/8/2022,2,1022.46,1926.61,ORD-00033,Apple Pay,KWD,Kuwait,Kuwait City,Online,Mobile,RAMADAN20,243.65,90.06,35.28,In Transit,Refunded
T00034,C0374,P106,CMP-003,STR-004,SES-000034,9/10/2023,5,582.59,2800.76,ORD-00034,Credit Card,BHD,UK,Birmingham,Retail,Tablet,NONE,277.28,131.78,33.31,In Transit,Refunded
T00035,C0061,P106,CMP-003,STR-004,SES-000035,3/7/2023,5,1082.69,5083.77,ORD-00035,Credit Card,AED,Qatar,Doha,Retail,Desktop,NONE,619.66,239.69,50.29,Delivered,Refunded
T00036,C0951,P107,CMP-001,STR-004,SES-000036,5/17/2022,6,530.74,2876.85,ORD-00036,Bank Transfer,AED,KSA,Jeddah,Retail,Mobile,VIP15,469.75,135.73,26.43,In Transit,Completed
T00037,C0386,P110,CMP-004,STR-006,SES-000037,7/7/2022,5,149.82,806.98,ORD-00037,Bank Transfer,BHD,UAE,Sharjah,Marketplace,Desktop,VIP15,23.93,36.26,45.55,In Transit,Completed
T00038,C0403,P101,CMP-004,STR-005,SES-000038,1/26/2023,3,1167.86,3580.35,ORD-00038,Apple Pay,GBP,USA,Chicago,Retail,Tablet,WELCOME10,94.94,170.43,1.28,In Transit,Pending
T00039,C0722,P110,CMP-004,STR-005,SES-000039,3/30/2024,4,1095.75,4271.61,ORD-00039,Credit Card,BHD,UK,Birmingham,Marketplace,Tablet,NONE,359.45,201.18,46.88,In Transit,Completed
T00040,C0297,P101,CMP-002,STR-004,SES-000040,4/2/2023,3,801.50,2432.54,ORD-00040,Bank Transfer,SAR,USA,Chicago,Retail,Mobile,RAMADAN20,93.81,115.53,6.32,Delivered,Completed
T00041,C0162,P110,CMP-002,STR-001,SES-000041,8/20/2023,3,342.79,968.81,ORD-00041,Credit Card,GBP,KSA,Riyadh,Marketplace,Tablet,VIP15,144.92,44.17,41.19,In Transit,Refunded
T00042,C0622,P110,CMP-005,STR-001,SES-000042,3/25/2022,4,298.67,1225.85,ORD-00042,Cash,BHD,Bahrain,Riffa,Online,Mobile,NONE,71.87,56.14,46.90,Returned,Completed
T00043,C0964,P107,CMP-003,STR-004,SES-000043,12/15/2024,2,677.04,1446.93,ORD-00043,Credit Card,AED,Bahrain,Manama,Marketplace,Mobile,WELCOME10,14.97,66.96,40.86,Returned,Refunded
T00044,C0467,P108,CMP-004,STR-004,SES-000044,1/10/2024,5,993.23,4755.53,ORD-00044,Apple Pay,QAR,UAE,Abu Dhabi,Retail,Desktop,RAMADAN20,479.55,224.33,44.60,Packed,Refunded
T00045,C0082,P110,CMP-004,STR-004,SES-000045,10/5/2023,3,1174.71,3384.06,ORD-00045,Apple Pay,AED,Qatar,Doha,Retail,Desktop,VIP15,307.98,160.81,7.10,In Transit,Completed
T00046,C0945,P103,CMP-005,STR-006,SES-000046,7/23/2023,3,324.98,913.24,ORD-00046,Bank Transfer,BHD,Kuwait,Kuwait City,Marketplace,Tablet,VIP15,135.38,41.98,31.70,Delivered,Completed
T00047,C0692,P107,CMP-004,STR-004,SES-000047,7/7/2023,5,793.34,3675.76,ORD-00047,Cash,EUR,Egypt,Cairo,Retail,Mobile,RAMADAN20,500.51,173.31,36.26,Returned,Completed
T00048,C0579,P102,CMP-003,STR-001,SES-000048,5/6/2023,3,886.53,2534.08,ORD-00048,Google Pay,AED,Kuwait,Hawalli,Retail,Desktop,VIP15,297.56,118.10,53.95,In Transit,Refunded
T00049,C0286,P103,CMP-004,STR-001,SES-000049,7/16/2024,2,559.39,1170.25,ORD-00049,Bank Transfer,EUR,KSA,Dammam,Online,Mobile,VIP15,45.76,53.65,43.58,In Transit,Refunded
T00050,C0848,P103,CMP-005,STR-004,SES-000050,7/22/2023,1,698.15,677.62,ORD-00050,Apple Pay,SAR,UAE,Abu Dhabi,Marketplace,Desktop,NONE,102.64,29.78,52.33,Packed,Refunded
T00051,C0560,P103,CMP-005,STR-001,SES-000051,4/13/2023,3,635.51,1753.26,ORD-00051,Credit Card,AED,Qatar,Doha,Retail,Tablet,VIP15,271.58,81.75,36.56,Returned,Refunded
T00052,C0471,P101,CMP-006,STR-004,SES-000052,1/4/2024,1,181.81,214.76,ORD-00052,Apple Pay,EGP,USA,New York,Marketplace,Desktop,RAMADAN20,15.70,8.31,40.34,Returned,Completed
T00053,C0792,P107,CMP-002,STR-001,SES-000053,9/8/2024,4,123.90,513.28,ORD-00053,Bank Transfer,EUR,Kuwait,Kuwait City,Online,Desktop,WELCOME10,29.98,23.28,24.38,Packed,Pending
T00054,C0402,P104,CMP-005,STR-001,SES-000054,5/11/2023,1,1409.22,1496.04,ORD-00054,Apple Pay,QAR,UK,Birmingham,Retail,Tablet,RAMADAN20,30.10,68.96,47.96,In Transit,Completed
T00055,C0625,P105,CMP-004,STR-004,SES-000055,1/21/2024,3,861.36,2575.77,ORD-00055,Apple Pay,EUR,Bahrain,Riffa,Marketplace,Desktop,WELCOME10,175.40,120.43,46.66,In Transit,Pending
T00056,C0666,P106,CMP-003,STR-001,SES-000056,9/28/2022,1,987.81,980.93,ORD-00056,Cash,AED,Qatar,Al Rayyan,Online,Tablet,WELCOME10,56.35,46.57,2.90,Packed,Completed
T00057,C0940,P109,CMP-002,STR-005,SES-000057,1/19/2022,1,1190.04,1188.47,ORD-00057,Google Pay,GBP,USA,Chicago,Marketplace,Desktop,NONE,105.18,54.24,49.37,In Transit,Completed
T00058,C0409,P109,CMP-004,STR-005,SES-000058,5/7/2024,5,83.16,411.93,ORD-00058,Apple Pay,GBP,KSA,Jeddah,Online,Desktop,WELCOME10,57.84,17.90,36.07,In Transit,Completed
T00059,C0973,P105,CMP-001,STR-003,SES-000059,7/23/2024,3,783.19,2416.38,ORD-00059,Bank Transfer,EUR,Egypt,Cairo,Retail,Desktop,NONE,94.06,112.78,48.09,Packed,Refunded
T00060,C0460,P110,CMP-006,STR-002,SES-000060,5/10/2023,2,377.56,810.10,ORD-00060,Cash,QAR,UAE,Abu Dhabi,Online,Mobile,NONE,37.23,35.89,56.32,In Transit,Completed
T00061,C0816,P106,CMP-004,STR-004,SES-000061,2/14/2024,1,635.90,625.04,ORD-00061,Apple Pay,KWD,UK,Birmingham,Online,Tablet,RAMADAN20,78.82,27.85,40.11,In Transit,Completed
T00062,C0015,P104,CMP-001,STR-005,SES-000062,9/21/2023,1,963.57,928.89,ORD-00062,Apple Pay,EGP,Egypt,Cairo,Retail,Desktop,VIP15,135.56,41.40,59.48,Packed,Completed
T00063,C0262,P107,CMP-003,STR-006,SES-000063,1/12/2024,3,658.50,2103.59,ORD-00063,Credit Card,GBP,KSA,Dammam,Retail,Desktop,RAMADAN20,18.83,97.83,49.09,Returned,Completed
T00064,C0447,P105,CMP-003,STR-006,SES-000064,4/17/2022,1,1312.22,1228.07,ORD-00064,Cash,EGP,KSA,Jeddah,Retail,Tablet,NONE,185.70,56.33,45.22,In Transit,Completed
T00065,C0848,P106,CMP-002,STR-003,SES-000065,6/21/2023,2,530.71,1044.06,ORD-00065,Apple Pay,EUR,UAE,Abu Dhabi,Retail,Tablet,NONE,113.85,47.38,49.11,Returned,Pending
T00066,C0087,P104,CMP-005,STR-003,SES-000066,7/20/2024,3,1274.05,3911.73,ORD-00066,Credit Card,BHD,KSA,Riyadh,Retail,Desktop,NONE,140.39,184.09,45.88,In Transit,Completed
T00067,C0384,P109,CMP-002,STR-006,SES-000067,6/18/2023,1,1143.36,1098.50,ORD-00067,Google Pay,EUR,KSA,Jeddah,Retail,Desktop,NONE,115.19,51.41,18.92,Packed,Completed
T00068,C0412,P110,CMP-001,STR-006,SES-000068,6/1/2024,1,166.17,193.02,ORD-00068,Cash,BHD,USA,New York,Online,Tablet,RAMADAN20,23.60,7.13,43.32,Packed,Completed
T00069,C0245,P101,CMP-002,STR-001,SES-000069,10/9/2023,5,427.49,2198.13,ORD-00069,Cash,QAR,UK,Birmingham,Marketplace,Mobile,NONE,99.19,101.91,57.96,In Transit,Completed
T00070,C0689,P101,CMP-001,STR-005,SES-000070,12/4/2022,6,1137.43,7071.60,ORD-00070,Credit Card,BHD,Egypt,Giza,Retail,Desktop,WELCOME10,110.01,335.73,21.30,Delivered,Completed
T00071,C0701,P104,CMP-005,STR-001,SES-000071,3/19/2022,2,1144.53,2220.74,ORD-00071,Apple Pay,EGP,UK,Manchester,Retail,Tablet,WELCOME10,217.70,103.57,45.81,Returned,Completed
T00072,C0026,P106,CMP-006,STR-003,SES-000072,1/24/2024,6,535.63,2964.07,ORD-00072,Apple Pay,QAR,Qatar,Al Rayyan,Retail,Desktop,VIP15,447.58,138.31,59.56,Returned,Completed
T00073,C0751,P108,CMP-005,STR-006,SES-000073,3/26/2023,2,901.59,1768.63,ORD-00073,Apple Pay,SAR,UAE,Sharjah,Online,Tablet,VIP15,162.93,82.01,46.37,Delivered,Pending
T00074,C0517,P109,CMP-003,STR-004,SES-000074,6/19/2024,5,1383.67,6440.42,ORD-00074,Credit Card,KWD,KSA,Jeddah,Marketplace,Mobile,WELCOME10,814.86,305.17,31.76,Returned,Pending
T00075,C0204,P101,CMP-006,STR-001,SES-000075,6/4/2024,3,955.96,2791.46,ORD-00075,Cash,QAR,UAE,Sharjah,Marketplace,Tablet,NONE,253.17,130.74,46.01,Returned,Completed
T00076,C0350,P107,CMP-002,STR-006,SES-000076,10/17/2023,6,1125.99,6412.60,ORD-00076,Apple Pay,EGP,UAE,Sharjah,Marketplace,Mobile,RAMADAN20,648.90,305.35,0.21,In Transit,Pending
T00077,C0463,P106,CMP-001,STR-005,SES-000077,3/7/2022,6,219.93,1337.78,ORD-00077,Apple Pay,AED,KSA,Dammam,Marketplace,Desktop,NONE,96.13,61.17,53.16,Returned,Completed
T00078,C0214,P110,CMP-001,STR-006,SES-000078,3/27/2024,3,1381.40,4247.06,ORD-00078,Apple Pay,EGP,UAE,Sharjah,Online,Mobile,VIP15,156.28,199.40,59.74,In Transit,Completed
T00079,C0014,P108,CMP-002,STR-006,SES-000079,7/27/2022,5,738.58,3388.04,ORD-00079,Credit Card,SAR,UAE,Dubai,Online,Mobile,NONE,503.49,159.47,39.16,Packed,Refunded
T00080,C0501,P103,CMP-005,STR-006,SES-000080,5/28/2022,6,607.31,3378.95,ORD-00080,Apple Pay,EUR,Kuwait,Kuwait City,Online,Tablet,RAMADAN20,440.25,160.18,15.16,Returned,Refunded
T00081,C0282,P108,CMP-001,STR-001,SES-000081,9/27/2024,6,870.38,5224.92,ORD-00081,Bank Transfer,KWD,Kuwait,Hawalli,Online,Tablet,NONE,271.48,247.54,26.58,Packed,Completed
T00082,C0977,P104,CMP-001,STR-006,SES-000082,1/11/2022,1,1111.35,1204.85,ORD-00082,Apple Pay,EGP,KSA,Dammam,Online,Desktop,WELCOME10,13.35,54.90,51.95,Delivered,Completed
T00083,C0860,P108,CMP-003,STR-001,SES-000083,2/24/2024,4,1074.23,4387.50,ORD-00083,Cash,EUR,KSA,Jeddah,Online,Desktop,WELCOME10,172.60,206.22,56.96,Packed,Completed
T00084,C0408,P108,CMP-002,STR-002,SES-000084,9/25/2022,3,588.43,1707.08,ORD-00084,Bank Transfer,SAR,USA,Chicago,Online,Desktop,NONE,195.81,78.47,59.13,Returned,Completed
T00085,C0441,P108,CMP-006,STR-002,SES-000085,10/3/2024,4,804.34,2939.36,ORD-00085,Google Pay,SAR,Bahrain,Riffa,Retail,Mobile,NONE,427.37,139.50,9.87,Delivered,Refunded
T00086,C0165,P110,CMP-001,STR-005,SES-000086,6/11/2023,4,940.46,3422.59,ORD-00086,Credit Card,SAR,KSA,Dammam,Retail,Mobile,RAMADAN20,532.69,161.46,31.98,Delivered,Completed
T00087,C0786,P107,CMP-003,STR-004,SES-000087,5/27/2024,6,513.29,2955.51,ORD-00087,Google Pay,BHD,UAE,Sharjah,Retail,Mobile,WELCOME10,290.94,139.44,27.27,Packed,Refunded
T00088,C0644,P108,CMP-006,STR-003,SES-000088,7/27/2023,4,1399.21,5065.31,ORD-00088,Credit Card,GBP,Kuwait,Hawalli,Retail,Desktop,VIP15,820.36,238.82,50.01,Returned,Completed
T00089,C0167,P104,CMP-001,STR-005,SES-000089,1/10/2022,3,490.83,1512.35,ORD-00089,Apple Pay,AED,USA,Chicago,Marketplace,Tablet,WELCOME10,47.27,71.26,15.87,Delivered,Refunded
T00090,C0870,P101,CMP-001,STR-001,SES-000090,11/12/2022,4,1430.62,5606.50,ORD-00090,Bank Transfer,KWD,KSA,Jeddah,Online,Tablet,RAMADAN20,402.24,266.01,20.25,In Transit,Completed
T00091,C0972,P107,CMP-002,STR-005,SES-000091,10/13/2022,3,143.99,470.63,ORD-00091,Apple Pay,AED,KSA,Dammam,Online,Desktop,WELCOME10,30.53,20.07,49.12,Delivered,Refunded
T00092,C0821,P103,CMP-004,STR-002,SES-000092,5/24/2023,1,827.52,797.67,ORD-00092,Google Pay,AED,UK,Manchester,Retail,Tablet,RAMADAN20,112.57,35.75,46.97,Delivered,Completed
T00093,C0171,P106,CMP-005,STR-001,SES-000093,9/12/2023,3,1060.58,3248.61,ORD-00093,Google Pay,BHD,Qatar,Doha,Marketplace,Mobile,NONE,110.56,153.56,23.87,Delivered,Completed
T00094,C0456,P102,CMP-006,STR-004,SES-000094,11/23/2024,1,26.17,30.98,ORD-00094,Bank Transfer,EUR,UAE,Abu Dhabi,Marketplace,Mobile,VIP15,2.08,1.20,5.69,Packed,Completed
T00095,C0342,P103,CMP-004,STR-004,SES-000095,2/18/2023,6,691.11,4333.64,ORD-00095,Credit Card,EUR,UAE,Dubai,Retail,Desktop,RAMADAN20,45.21,205.07,27.12,In Transit,Refunded
T00096,C0756,P105,CMP-001,STR-003,SES-000096,8/26/2024,2,541.13,1051.58,ORD-00096,Cash,KWD,Kuwait,Kuwait City,Online,Tablet,RAMADAN20,98.52,49.19,18.65,In Transit,Completed
T00097,C0352,P103,CMP-003,STR-004,SES-000097,6/28/2024,4,819.09,3047.90,ORD-00097,Bank Transfer,BHD,UK,Manchester,Online,Tablet,VIP15,410.17,143.31,38.40,Delivered,Refunded
T00098,C0642,P107,CMP-001,STR-002,SES-000098,11/26/2022,6,984.95,5638.43,ORD-00098,Credit Card,SAR,Kuwait,Hawalli,Marketplace,Tablet,NONE,582.03,266.38,44.38,In Transit,Completed
T00099,C0696,P108,CMP-006,STR-001,SES-000099,12/21/2023,6,1493.50,9307.91,ORD-00099,Bank Transfer,GBP,UAE,Dubai,Online,Mobile,NONE,131.18,441.49,36.60,In Transit,Refunded
T00100,C0933,P108,CMP-002,STR-003,SES-000100,5/7/2024,1,1060.48,1111.01,ORD-00100,Cash,KWD,KSA,Riyadh,Retail,Tablet,WELCOME10,57.49,50.15,57.87,Packed,Pending
T00101,C0793,P105,CMP-001,STR-004,SES-000101,9/15/2022,6,1229.07,7003.81,ORD-00101,Credit Card,EUR,UK,Manchester,Online,Tablet,NONE,756.05,330.92,54.52,In Transit,Refunded
T00102,C0408,P101,CMP-006,STR-002,SES-000102,2/24/2022,5,814.34,4055.00,ORD-00102,Cash,GBP,USA,Chicago,Marketplace,Mobile,VIP15,214.59,192.86,5.03,Packed,Refunded
T00103,C0256,P106,CMP-004,STR-005,SES-000103,5/6/2022,6,1494.47,8704.11,ORD-00103,Apple Pay,QAR,UAE,Abu Dhabi,Marketplace,Mobile,VIP15,702.51,413.22,26.58,In Transit,Completed
T00104,C0721,P107,CMP-004,STR-004,SES-000104,10/23/2022,1,1206.09,1190.58,ORD-00104,Credit Card,EUR,USA,Chicago,Marketplace,Desktop,VIP15,88.79,55.87,17.41,Packed,Pending
T00105,C0656,P104,CMP-002,STR-004,SES-000105,12/17/2024,2,1100.82,2131.99,ORD-00105,Apple Pay,KWD,Qatar,Doha,Online,Desktop,WELCOME10,172.55,101.45,1.45,Delivered,Pending
T00106,C0320,P106,CMP-003,STR-005,SES-000106,11/13/2022,4,231.29,914.29,ORD-00106,Credit Card,EGP,UAE,Sharjah,Marketplace,Tablet,NONE,66.16,42.95,12.34,Packed,Pending
T00107,C0934,P108,CMP-004,STR-004,SES-000107,4/2/2023,3,35.36,135.43,ORD-00107,Google Pay,QAR,UAE,Abu Dhabi,Marketplace,Desktop,VIP15,12.69,4.67,37.37,Packed,Completed
T00108,C0311,P107,CMP-005,STR-004,SES-000108,11/22/2024,3,1411.62,4405.58,ORD-00108,Credit Card,BHD,KSA,Jeddah,Marketplace,Mobile,RAMADAN20,72.94,208.10,35.56,Delivered,Completed
T00109,C0381,P103,CMP-006,STR-005,SES-000109,9/1/2023,3,409.31,1244.17,ORD-00109,Google Pay,AED,Qatar,Doha,Retail,Mobile,VIP15,83.67,57.21,42.70,Returned,Completed
T00110,C0700,P106,CMP-006,STR-005,SES-000110,3/31/2022,4,638.58,2583.93,ORD-00110,Google Pay,SAR,UAE,Sharjah,Online,Tablet,WELCOME10,119.70,121.73,27.58,Delivered,Completed
T00111,C0468,P107,CMP-001,STR-004,SES-000111,1/2/2025,2,314.85,633.46,ORD-00111,Apple Pay,QAR,USA,Austin,Marketplace,Mobile,VIP15,57.30,28.62,32.44,Delivered,Refunded
T00112,C0894,P101,CMP-006,STR-002,SES-000112,1/17/2024,2,481.09,978.46,ORD-00112,Google Pay,QAR,UK,Birmingham,Marketplace,Mobile,VIP15,70.32,44.59,42.01,Delivered,Completed
T00113,C0661,P110,CMP-006,STR-001,SES-000113,3/8/2022,6,172.23,1003.17,ORD-00113,Apple Pay,SAR,KSA,Riyadh,Retail,Mobile,WELCOME10,104.41,46.45,27.75,In Transit,Pending
T00114,C0257,P105,CMP-005,STR-006,SES-000114,1/17/2022,6,171.10,1008.18,ORD-00114,Bank Transfer,BHD,Kuwait,Hawalli,Retail,Mobile,VIP15,70.63,47.80,4.41,Returned,Pending
T00115,C0347,P104,CMP-005,STR-001,SES-000115,7/16/2022,6,690.07,4204.65,ORD-00115,Google Pay,AED,UK,London,Retail,Mobile,WELCOME10,168.56,198.59,34.20,Delivered,Pending
T00116,C0610,P103,CMP-002,STR-005,SES-000116,4/2/2022,4,410.60,1736.52,ORD-00116,Bank Transfer,KWD,UK,Manchester,Retail,Tablet,VIP15,23.87,80.93,37.06,Delivered,Completed
T00117,C0712,P110,CMP-002,STR-004,SES-000117,5/11/2024,3,499.88,1419.00,ORD-00117,Cash,BHD,Bahrain,Manama,Online,Tablet,NONE,184.78,65.74,38.40,Packed,Completed
T00118,C0564,P107,CMP-003,STR-004,SES-000118,1/1/2023,4,89.53,375.76,ORD-00118,Cash,AED,Qatar,Al Rayyan,Retail,Mobile,NONE,0.72,17.87,0.49,Delivered,Completed
T00119,C0001,P101,CMP-003,STR-002,SES-000119,7/23/2024,5,251.82,1181.21,ORD-00119,Bank Transfer,EGP,UK,London,Retail,Tablet,WELCOME10,183.59,53.78,51.92,Delivered,Completed
T00120,C0011,P108,CMP-001,STR-001,SES-000120,5/9/2022,4,867.38,3560.05,ORD-00120,Cash,BHD,UAE,Sharjah,Marketplace,Tablet,RAMADAN20,88.50,169.05,9.98,Packed,Completed
T00121,C0376,P105,CMP-001,STR-003,SES-000121,5/19/2022,5,1488.40,7744.51,ORD-00121,Apple Pay,BHD,Kuwait,Kuwait City,Retail,Mobile,WELCOME10,66.43,368.78,0.16,In Transit,Completed
T00122,C0679,P109,CMP-004,STR-002,SES-000122,11/12/2023,5,1159.14,5903.52,ORD-00122,Bank Transfer,GBP,UK,Birmingham,Retail,Tablet,RAMADAN20,206.66,279.45,35.03,In Transit,Pending
T00123,C0332,P106,CMP-005,STR-001,SES-000123,4/19/2022,5,232.67,1093.51,ORD-00123,Apple Pay,KWD,USA,New York,Marketplace,Tablet,VIP15,135.04,51.42,13.78,Returned,Completed
T00124,C0914,P109,CMP-006,STR-002,SES-000124,6/22/2023,4,990.82,3806.13,ORD-00124,Credit Card,EUR,Kuwait,Kuwait City,Online,Tablet,NONE,385.02,178.91,48.96,In Transit,Completed
T00125,C0984,P109,CMP-004,STR-003,SES-000125,3/2/2023,1,1054.85,1107.30,ORD-00125,Google Pay,AED,Bahrain,Riffa,Retail,Tablet,VIP15,23.67,51.56,24.56,Delivered,Refunded
T00126,C0480,P110,CMP-003,STR-006,SES-000126,11/18/2022,6,87.17,557.77,ORD-00126,Cash,SAR,UK,Birmingham,Marketplace,Desktop,VIP15,36.42,24.33,46.84,Delivered,Completed
