inventory_snapshot_id,snapshot_date,store_id,product_id,sku,product_name,category,brand,stock_quantity,reserved_quantity,available_quantity,reorder_point,safety_stock,inbound_quantity,outbound_quantity,unit_cost,inventory_value,supplier_name,snapshot_timestamp,stock_status
INV-000038,2025-02-07,STR-006,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,477,43,434,55,20,16,32,450.90,195690.60,Alpha Supply,2025-02-07T00:00:00+00:00,Low
INV-000039,2025-02-08,STR-004,P104,SKU-P104,Laptop Stand,Office,ErgoLift,411,56,355,74,49,78,80,686.43,243682.65,Vertex Global,2025-02-08T00:00:00+00:00,Healthy
INV-000040,2025-02-09,STR-004,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,428,27,401,117,24,10,39,897.73,359989.73,Alpha Supply,2025-02-09T00:00:00+00:00,Low
INV-000041,2025-02-10,STR-004,P107,SKU-P107,Webcam 4K,Video,ClearView,470,46,424,99,20,73,48,531.60,225398.40,Alpha Supply,2025-02-10T00:00:00+00:00,Healthy
INV-000042,2025-02-11,STR-005,P109,SKU-P109,Desk Lamp,Office,BrightNest,395,40,355,89,35,89,76,627.17,222645.35,Prime Distribution,2025-02-11T00:00:00+00:00,Out Of Stock
INV-000043,2025-02-12,STR-002,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,172,9,163,81,48,58,27,670.50,109291.50,Alpha Supply,2025-02-12T00:00:00+00:00,Healthy
INV-000044,2025-02-13,STR-001,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,393,22,371,114,45,0,33,417.67,154955.57,Delta Trade,2025-02-13T00:00:00+00:00,Low
INV-000045,2025-02-14,STR-002,P109,SKU-P109,Desk Lamp,Office,BrightNest,116,55,61,113,11,56,30,531.86,32443.46,Prime Distribution,2025-02-14T00:00:00+00:00,Healthy
INV-000046,2025-02-15,STR-006,P104,SKU-P104,Laptop Stand,Office,ErgoLift,213,44,169,94,24,40,99,719.66,121622.54,Alpha Supply,2025-02-15T00:00:00+00:00,Low
INV-000047,2025-02-16,STR-001,P109,SKU-P109,Desk Lamp,Office,BrightNest,104,21,83,75,43,100,44,244.69,20309.27,Vertex Global,2025-02-16T00:00:00+00:00,Low
INV-000048,2025-02-17,STR-001,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,241,54,187,119,30,83,77,640.33,119741.71,Delta Trade,2025-02-17T00:00:00+00:00,Low
INV-000049,2025-02-18,STR-005,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,164,7,157,110,42,6,58,161.33,25328.81,Vertex Global,2025-02-18T00:00:00+00:00,Low
INV-000050,2025-02-19,STR-001,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,252,43,209,104,28,71,77,177.56,37110.04,Alpha Supply,2025-02-19T00:00:00+00:00,Low
INV-000051,2025-02-20,STR-004,P107,SKU-P107,Webcam 4K,Video,ClearView,66,10,56,92,33,66,79,600.83,33646.48,Vertex Global,2025-02-20T00:00:00+00:00,Healthy
INV-000052,2025-02-21,STR-005,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,101,57,44,111,75,12,82,724.88,31894.72,Vertex Global,2025-02-21T00:00:00+00:00,Low
INV-000053,2025-02-22,STR-001,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,178,36,142,60,37,118,22,384.89,54654.38,Prime Distribution,2025-02-22T00:00:00+00:00,Out Of Stock
INV-000054,2025-02-23,STR-005,P109,SKU-P109,Desk Lamp,Office,BrightNest,410,48,362,103,27,66,40,510.74,184887.88,Alpha Supply,2025-02-23T00:00:00+00:00,Out Of Stock
INV-000055,2025-02-24,STR-005,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,201,24,177,34,76,58,19,799.58,141525.66,Vertex Global,2025-02-24T00:00:00+00:00,Healthy
INV-000056,2025-02-25,STR-006,P109,SKU-P109,Desk Lamp,Office,BrightNest,360,5,355,64,79,39,54,235.58,83630.90,Alpha Supply,2025-02-25T00:00:00+00:00,Out Of Stock
INV-000057,2025-02-26,STR-001,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,326,30,296,50,33,75,9,400.40,118518.40,Delta Trade,2025-02-26T00:00:00+00:00,Out Of Stock
INV-000058,2025-02-27,STR-005,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,37,33,4,46,78,49,21,252.00,1008.00,Alpha Supply,2025-02-27T00:00:00+00:00,Out Of Stock
INV-000059,2025-02-28,STR-001,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,365,32,333,44,77,6,91,621.05,206809.65,Prime Distribution,2025-02-28T00:00:00+00:00,Low
INV-000060,2025-03-01,STR-001,P104,SKU-P104,Laptop Stand,Office,ErgoLift,442,2,440,68,61,49,81,697.83,307045.20,Vertex Global,2025-03-01T00:00:00+00:00,Out Of Stock
INV-000061,2025-03-02,STR-003,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,173,6,167,36,35,70,33,639.64,106819.88,Alpha Supply,2025-03-02T00:00:00+00:00,Low
INV-000062,2025-03-03,STR-005,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,7,6,1,116,27,51,52,229.21,229.21,Delta Trade,2025-03-03T00:00:00+00:00,Low
INV-000063,2025-03-04,STR-005,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,442,27,415,39,36,0,97,839.56,348417.40,Prime Distribution,2025-03-04T00:00:00+00:00,Out Of Stock
INV-000064,2025-03-05,STR-004,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,320,37,283,66,42,33,45,872.28,246855.24,Vertex Global,2025-03-05T00:00:00+00:00,Healthy
INV-000065,2025-03-06,STR-006,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,67,16,51,90,59,80,95,714.45,36436.95,Prime Distribution,2025-03-06T00:00:00+00:00,Out Of Stock
INV-000066,2025-03-07,STR-006,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,81,9,72,64,31,1,46,621.35,44737.20,Prime Distribution,2025-03-07T00:00:00+00:00,Low
INV-000067,2025-03-08,STR-003,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,118,0,118,106,72,82,75,602.93,71145.74,Delta Trade,2025-03-08T00:00:00+00:00,Healthy
INV-000068,2025-03-09,STR-005,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,405,60,345,111,48,21,72,730.11,251887.95,Alpha Supply,2025-03-09T00:00:00+00:00,Healthy
INV-000069,2025-03-10,STR-006,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,223,53,170,56,60,64,4,492.50,83725.00,Delta Trade,2025-03-10T00:00:00+00:00,Low
INV-000070,2025-03-11,STR-003,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,452,25,427,74,50,83,54,837.87,357770.49,Vertex Global,2025-03-11T00:00:00+00:00,Healthy
INV-000071,2025-03-12,STR-004,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,59,15,44,23,52,98,84,748.84,32948.96,Prime Distribution,2025-03-12T00:00:00+00:00,Out Of Stock
INV-000072,2025-03-13,STR-001,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,399,14,385,103,31,105,21,778.67,299787.95,Delta Trade,2025-03-13T00:00:00+00:00,Low
INV-000073,2025-03-14,STR-004,P107,SKU-P107,Webcam 4K,Video,ClearView,84,40,44,43,18,41,58,509.16,22403.04,Prime Distribution,2025-03-14T00:00:00+00:00,Out Of Stock
INV-000074,2025-03-15,STR-003,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,178,51,127,26,22,50,41,302.58,38427.66,Delta Trade,2025-03-15T00:00:00+00:00,Healthy
INV-000075,2025-03-16,STR-002,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,187,31,156,79,23,98,94,194.98,30416.88,Vertex Global,2025-03-16T00:00:00+00:00,Healthy
INV-000076,2025-03-17,STR-002,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,448,31,417,80,73,14,22,440.32,183613.44,Alpha Supply,2025-03-17T00:00:00+00:00,Out Of Stock
INV-000077,2025-03-18,STR-001,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,50,27,23,87,28,32,83,360.29,8286.67,Delta Trade,2025-03-18T00:00:00+00:00,Healthy
INV-000078,2025-03-19,STR-006,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,86,28,58,78,52,17,50,327.27,18981.66,Vertex Global,2025-03-19T00:00:00+00:00,Healthy
INV-000079,2025-03-20,STR-005,P104,SKU-P104,Laptop Stand,Office,ErgoLift,327,47,280,83,40,106,22,448.04,125451.20,Delta Trade,2025-03-20T00:00:00+00:00,Out Of Stock
INV-000080,2025-03-21,STR-001,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,491,11,480,90,47,72,24,739.68,355046.40,Vertex Global,2025-03-21T00:00:00+00:00,Healthy
INV-000081,2025-03-22,STR-006,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,41,25,16,68,26,3,66,669.91,10718.56,Alpha Supply,2025-03-22T00:00:00+00:00,Low
INV-000082,2025-03-23,STR-003,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,141,49,92,38,66,22,2,869.34,79979.28,Alpha Supply,2025-03-23T00:00:00+00:00,Out Of Stock
INV-000083,2025-03-24,STR-006,P104,SKU-P104,Laptop Stand,Office,ErgoLift,95,20,75,120,54,22,39,284.43,21332.25,Delta Trade,2025-03-24T00:00:00+00:00,Healthy
INV-000084,2025-03-25,STR-004,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,218,35,183,102,52,16,100,86.74,15873.42,Prime Distribution,2025-03-25T00:00:00+00:00,Low
INV-000085,2025-03-26,STR-006,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,296,8,288,53,74,118,1,82.08,23639.04,Vertex Global,2025-03-26T00:00:00+00:00,Low
INV-000086,2025-03-27,STR-001,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,32,22,10,117,34,36,38,821.92,8219.20,Prime Distribution,2025-03-27T00:00:00+00:00,Healthy
INV-000087,2025-03-28,STR-005,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,13,7,6,60,29,89,69,183.46,1100.76,Delta Trade,2025-03-28T00:00:00+00:00,Low
INV-000088,2025-03-29,STR-005,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,425,50,375,82,27,25,87,586.36,219885.00,Prime Distribution,2025-03-29T00:00:00+00:00,Out Of Stock
INV-000089,2025-03-30,STR-005,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,50,36,14,43,11,84,15,801.36,11219.04,Vertex Global,2025-03-30T00:00:00+00:00,Out Of Stock
INV-000090,2025-03-31,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,390,54,336,87,56,62,33,715.25,240324.00,Alpha Supply,2025-03-31T00:00:00+00:00,Low
INV-000091,2025-04-01,STR-005,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,387,40,347,38,35,59,50,580.90,201572.30,Delta Trade,2025-04-01T00:00:00+00:00,Low
INV-000092,2025-04-02,STR-005,P104,SKU-P104,Laptop Stand,Office,ErgoLift,288,0,288,112,69,106,76,115.16,33166.08,Delta Trade,2025-04-02T00:00:00+00:00,Healthy
INV-000093,2025-04-03,STR-001,P109,SKU-P109,Desk Lamp,Office,BrightNest,432,2,430,78,39,79,10,136.08,58514.40,Prime Distribution,2025-04-03T00:00:00+00:00,Out Of Stock
INV-000094,2025-04-04,STR-005,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,61,2,59,120,39,42,51,421.59,24873.81,Delta Trade,2025-04-04T00:00:00+00:00,Out Of Stock
INV-000095,2025-04-05,STR-001,P107,SKU-P107,Webcam 4K,Video,ClearView,196,21,175,80,12,16,45,379.45,66403.75,Vertex Global,2025-04-05T00:00:00+00:00,Out Of Stock
INV-000096,2025-04-06,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,150,12,138,63,17,40,31,335.83,46344.54,Delta Trade,2025-04-06T00:00:00+00:00,Low
INV-000097,2025-04-07,STR-004,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,162,15,147,62,71,95,35,656.66,96529.02,Vertex Global,2025-04-07T00:00:00+00:00,Healthy
INV-000098,2025-04-08,STR-003,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,295,39,256,25,75,20,61,88.66,22696.96,Delta Trade,2025-04-08T00:00:00+00:00,Low
INV-000099,2025-04-09,STR-005,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,271,28,243,91,14,73,87,813.77,197746.11,Vertex Global,2025-04-09T00:00:00+00:00,Healthy
INV-000100,2025-04-10,STR-006,P109,SKU-P109,Desk Lamp,Office,BrightNest,209,23,186,66,65,54,58,192.92,35883.12,Vertex Global,2025-04-10T00:00:00+00:00,Out Of Stock
INV-000101,2025-04-11,STR-005,P109,SKU-P109,Desk Lamp,Office,BrightNest,28,23,5,61,40,3,15,605.56,3027.80,Alpha Supply,2025-04-11T00:00:00+00:00,Low
INV-000102,2025-04-12,STR-002,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,451,55,396,111,59,119,14,794.86,314764.56,Delta Trade,2025-04-12T00:00:00+00:00,Low
INV-000103,2025-04-13,STR-001,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,0,0,0,30,71,36,44,643.87,0.00,Alpha Supply,2025-04-13T00:00:00+00:00,Out Of Stock
INV-000104,2025-04-14,STR-003,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,140,60,80,50,19,103,40,131.26,10500.80,Vertex Global,2025-04-14T00:00:00+00:00,Healthy
INV-000105,2025-04-15,STR-002,P109,SKU-P109,Desk Lamp,Office,BrightNest,304,26,278,24,57,1,13,880.91,244892.98,Delta Trade,2025-04-15T00:00:00+00:00,Out Of Stock
INV-000106,2025-04-16,STR-002,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,225,42,183,92,51,41,25,259.17,47428.11,Prime Distribution,2025-04-16T00:00:00+00:00,Low
INV-000107,2025-04-17,STR-004,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,443,19,424,47,61,91,84,288.00,122112.00,Delta Trade,2025-04-17T00:00:00+00:00,Healthy
INV-000108,2025-04-18,STR-002,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,361,1,360,57,60,28,18,626.25,225450.00,Prime Distribution,2025-04-18T00:00:00+00:00,Low
INV-000109,2025-04-19,STR-005,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,255,40,215,110,26,84,94,668.61,143751.15,Delta Trade,2025-04-19T00:00:00+00:00,Low
INV-000110,2025-04-20,STR-003,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,41,5,36,46,47,37,10,471.30,16966.80,Prime Distribution,2025-04-20T00:00:00+00:00,Low
INV-000111,2025-04-21,STR-004,P109,SKU-P109,Desk Lamp,Office,BrightNest,157,9,148,97,76,48,40,528.43,78207.64,Vertex Global,2025-04-21T00:00:00+00:00,Healthy
INV-000112,2025-04-22,STR-004,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,17,2,15,34,19,61,12,610.53,9157.95,Vertex Global,2025-04-22T00:00:00+00:00,Healthy
INV-000113,2025-04-23,STR-002,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,380,48,332,112,67,71,8,507.63,168533.16,Delta Trade,2025-04-23T00:00:00+00:00,Low
INV-000114,2025-04-24,STR-001,P104,SKU-P104,Laptop Stand,Office,ErgoLift,369,19,350,35,67,51,25,844.38,295533.00,Alpha Supply,2025-04-24T00:00:00+00:00,Healthy
INV-000115,2025-04-25,STR-002,P107,SKU-P107,Webcam 4K,Video,ClearView,431,31,400,74,38,31,80,538.66,215464.00,Prime Distribution,2025-04-25T00:00:00+00:00,Out Of Stock
INV-000116,2025-04-26,STR-005,P107,SKU-P107,Webcam 4K,Video,ClearView,311,7,304,115,14,92,56,502.82,152857.28,Alpha Supply,2025-04-26T00:00:00+00:00,Healthy
INV-000117,2025-04-27,STR-004,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,170,12,158,36,29,68,91,484.93,76618.94,Alpha Supply,2025-04-27T00:00:00+00:00,Out Of Stock
INV-000118,2025-04-28,STR-004,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,0,0,0,71,44,65,18,230.96,0.00,Delta Trade,2025-04-28T00:00:00+00:00,Healthy
INV-000119,2025-04-29,STR-002,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,486,44,442,29,75,73,7,83.99,37123.58,Alpha Supply,2025-04-29T00:00:00+00:00,Healthy
INV-000120,2025-04-30,STR-002,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,322,3,319,61,41,44,7,895.93,285801.67,Alpha Supply,2025-04-30T00:00:00+00:00,Healthy
INV-000121,2025-01-01,STR-006,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,432,19,413,76,55,36,53,568.71,234877.23,Vertex Global,2025-01-01T00:00:00+00:00,Out Of Stock
INV-000122,2025-01-02,STR-002,P107,SKU-P107,Webcam 4K,Video,ClearView,356,42,314,65,51,50,43,245.12,76967.68,Delta Trade,2025-01-02T00:00:00+00:00,Healthy
INV-000123,2025-01-03,STR-005,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,280,45,235,63,47,113,40,801.22,188286.70,Vertex Global,2025-01-03T00:00:00+00:00,Out Of Stock
INV-000124,2025-01-04,STR-004,P104,SKU-P104,Laptop Stand,Office,ErgoLift,152,34,118,43,52,61,8,468.66,55301.88,Alpha Supply,2025-01-04T00:00:00+00:00,Low
INV-000125,2025-01-05,STR-006,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,473,34,439,26,74,89,13,797.44,350076.16,Vertex Global,2025-01-05T00:00:00+00:00,Low
INV-000126,2025-01-06,STR-002,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,212,5,207,89,78,77,94,637.55,131972.85,Alpha Supply,2025-01-06T00:00:00+00:00,Healthy
INV-000127,2025-01-07,STR-003,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,469,30,439,114,77,34,27,257.61,113090.79,Vertex Global,2025-01-07T00:00:00+00:00,Healthy
INV-000128,2025-01-08,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,476,20,456,85,24,92,2,716.82,326869.92,Vertex Global,2025-01-08T00:00:00+00:00,Out Of Stock
INV-000129,2025-01-09,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,306,43,263,90,56,50,65,190.10,49996.30,Delta Trade,2025-01-09T00:00:00+00:00,Low
INV-000130,2025-01-10,STR-005,P104,SKU-P104,Laptop Stand,Office,ErgoLift,142,29,113,119,67,28,62,131.14,14818.82,Prime Distribution,2025-01-10T00:00:00+00:00,Healthy
INV-000131,2025-01-11,STR-001,P107,SKU-P107,Webcam 4K,Video,ClearView,119,35,84,68,18,47,46,578.44,48588.96,Alpha Supply,2025-01-11T00:00:00+00:00,Out Of Stock
INV-000132,2025-01-12,STR-001,P107,SKU-P107,Webcam 4K,Video,ClearView,120,40,80,90,70,39,20,644.47,51557.60,Prime Distribution,2025-01-12T00:00:00+00:00,Low
INV-000133,2025-01-13,STR-002,P107,SKU-P107,Webcam 4K,Video,ClearView,91,21,70,39,26,82,98,448.58,31400.60,Prime Distribution,2025-01-13T00:00:00+00:00,Out Of Stock
INV-000134,2025-01-14,STR-002,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,262,38,224,58,51,104,11,501.89,112423.36,Vertex Global,2025-01-14T00:00:00+00:00,Healthy
INV-000135,2025-01-15,STR-006,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,87,17,70,27,31,98,19,49.36,3455.20,Prime Distribution,2025-01-15T00:00:00+00:00,Out Of Stock
INV-000136,2025-01-16,STR-006,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,176,9,167,24,71,68,0,457.21,76354.07,Prime Distribution,2025-01-16T00:00:00+00:00,Healthy
INV-000137,2025-01-17,STR-005,P109,SKU-P109,Desk Lamp,Office,BrightNest,47,21,26,108,31,67,40,495.84,12891.84,Delta Trade,2025-01-17T00:00:00+00:00,Low
